#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2016-12-18 10:49:03
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2016-12-18 10:49:03 GET / - 66.220.152.139 HTTP/1.1 facebookexternalhit/1.1+(+http://www.facebook.com/externalhit_uatext.php) - 304 230 273
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2016-12-18 12:46:56
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2016-12-18 12:46:56 GET /robots.txt - 66.249.79.94 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 404 1405 229
2016-12-18 12:46:57 GET /index.php - 66.249.79.90 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 404 1405 353
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2016-12-18 13:29:04
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2016-12-18 13:29:03 GET /robots.txt - 52.91.127.146 HTTP/1.1 - - 404 1424 74
2016-12-18 13:29:04 GET / - 52.91.127.146 HTTP/1.1 CheckMarkNetwork/1.0+(+http://www.checkmarknetwork.com/spider.html) - 200 23416 145
2016-12-18 13:29:07 GET /css/bootstrap.css - 52.91.127.146 HTTP/1.1 roboto - 200 121534 101
2016-12-18 13:29:08 GET /css/iconeffects.css - 52.91.127.146 HTTP/1.1 roboto - 200 16110 103
2016-12-18 13:29:10 GET /css/style.css - 52.91.127.146 HTTP/1.1 roboto - 200 62609 97
2016-12-18 13:29:11 GET /css/swipebox.css - 52.91.127.146 HTTP/1.1 roboto - 200 4371 100
2016-12-18 13:29:12 GET /css/animate.css - 52.91.127.146 HTTP/1.1 roboto - 200 72525 99
2016-12-18 13:38:07 GET /robots.txt - 207.46.13.230 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - 404 1405 256
2016-12-18 13:38:17 GET /images/s2.jpg - 40.77.167.65 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - 200 863576 291
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2016-12-19 06:09:39
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2016-12-19 06:09:38 GET / - 195.154.146.225 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+Trident/7.0;+rv:11.0)+like+Gecko - 200 7016 242
