#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-03-20 11:13:31
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-03-20 11:13:31 GET / - 180.76.15.34 HTTP/1.1 Mozilla/5.0+(compatible;+Baiduspider/2.0;++http://www.baidu.com/search/spider.html) - 304 230 307
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-03-20 12:21:27
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-03-20 12:21:27 GET /robots.txt - 46.229.164.101 HTTP/1.1 Mozilla/5.0+(compatible;+SemrushBot/1.2~bl;++http://www.semrush.com/bot.html) - 404 1424 213
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-03-20 18:04:40
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-03-20 18:04:40 GET /robots.txt - 66.249.79.166 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 404 1405 233
2017-03-20 18:07:47 GET /images/serve1.png - 66.249.79.166 HTTP/1.1 Googlebot-Image/1.0 - 200 1714 204
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-03-21 02:05:34
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-03-21 02:05:34 GET / - 144.217.80.113 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/52.0.2743.116+Safari/537.36 - 200 7037 341
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-03-21 03:23:56
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
