#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-06-03 10:32:42
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-06-03 10:32:42 GET /css/swipebox.css - 180.76.15.32 HTTP/1.1 Mozilla/5.0+(compatible;+Baiduspider/2.0;++http://www.baidu.com/search/spider.html) - 200 4371 237
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-06-03 11:37:28
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-06-03 11:37:28 POST / - 192.187.100.58 HTTP/1.1 Mozilla/5.0+(Windows;+Windows+NT+5.1;+en-US)+Firefox/3.5.0 http://www.crossroadsbar.co.nz//wp-admin/ 405 1515 289
2017-06-03 11:37:28 POST / - 192.187.100.58 HTTP/1.1 Mozilla/5.0+(Windows;+Windows+NT+5.1;+en-US)+Firefox/3.5.0 http://www.crossroadsbar.co.nz//wp-admin/ 405 1515 289
2017-06-03 11:37:29 POST /uploadify/uploadify.php - 192.187.100.58 HTTP/1.1 Mozilla/5.0+(Windows;+Windows+NT+5.1;+en-US)+Firefox/3.5.0 http://www.crossroadsbar.co.nz//wp-admin/ 404 1424 322
2017-06-03 11:37:29 POST /uploadify/uploadify.php - 192.187.100.58 HTTP/1.1 Mozilla/5.0+(Windows;+Windows+NT+5.1;+en-US)+Firefox/3.5.0 http://www.crossroadsbar.co.nz//wp-admin/ 404 1424 322
2017-06-03 11:37:32 POST /wp-admin/admin-ajax.php - 192.187.100.58 HTTP/1.1 Mozilla/5.0+(Windows;+Windows+NT+5.1;+en-US)+Firefox/3.5.0 http://www.crossroadsbar.co.nz//wp-admin/ 404 1424 313
2017-06-03 11:37:33 POST /wp-admin/admin-ajax.php - 192.187.100.58 HTTP/1.1 Mozilla/5.0+(Windows;+Windows+NT+5.1;+en-US)+Firefox/3.5.0 http://www.crossroadsbar.co.nz//wp-admin/ 404 1424 313
2017-06-03 11:37:35 POST /license.php - 192.187.100.58 HTTP/1.1 Mozilla/5.0+(Windows;+Windows+NT+5.1;+en-US)+Firefox/3.5.0 http://www.crossroadsbar.co.nz//wp-admin/ 404 1424 301
2017-06-03 11:37:36 POST /license.php - 192.187.100.58 HTTP/1.1 Mozilla/5.0+(Windows;+Windows+NT+5.1;+en-US)+Firefox/3.5.0 http://www.crossroadsbar.co.nz//wp-admin/ 404 1424 301
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-06-04 02:40:54
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-06-04 02:40:53 GET /robots.txt - 199.58.86.206 HTTP/1.1 Mozilla/5.0+(compatible;+MJ12bot/v1.4.8;+http://mj12bot.com/) - 404 1405 167
2017-06-04 02:40:56 GET / - 199.58.86.206 HTTP/1.1 Mozilla/5.0+(compatible;+MJ12bot/v1.4.8;+http://mj12bot.com/) - 200 23480 344
