#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-11-06 08:06:45
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-11-06 08:06:45 GET /images/c2.jpg - 51.255.71.100 HTTP/1.1 Mozilla/5.0+(compatible;+AhrefsBot/5.2;++http://ahrefs.com/robot/) - 200 30984 187
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-11-06 11:38:34
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-11-06 11:38:34 GET /robots.txt - 5.45.207.33 HTTP/1.1 Mozilla/5.0+(compatible;+YandexBot/3.0;++http://yandex.com/bots) - 404 1405 189
2017-11-06 11:38:38 GET /favicon.ico - 5.45.207.33 HTTP/1.1 Mozilla/5.0+(compatible;+YandexBot/3.0;++http://yandex.com/bots) - 404 1405 234
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-11-06 13:01:54
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-11-06 13:01:54 GET /utility/convert/index.php - 144.217.94.96 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/56.0.2924.87+Safari/537.36 - 404 1405 319
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-11-06 15:16:15
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-11-06 15:16:15 GET /robots.txt - 66.249.79.69 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 404 1405 233
2017-11-06 15:16:15 GET /index.php - 66.249.79.72 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 404 1405 353
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-11-06 16:09:03
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-11-06 16:09:03 GET /robots.txt - 46.229.164.101 HTTP/1.1 Mozilla/5.0+(compatible;+SemrushBot/1.2~bl;++http://www.semrush.com/bot.html) - 404 1424 209
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-11-06 18:19:56
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-11-06 18:19:55 GET /robots.txt - 46.229.164.99 HTTP/1.1 Mozilla/5.0+(compatible;+SemrushBot/1.2~bl;++http://www.semrush.com/bot.html) - 404 1424 213
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-11-06 18:49:47
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-11-06 18:49:47 GET / - 180.76.15.26 HTTP/1.1 Mozilla/5.0+(compatible;+Baiduspider/2.0;++http://www.baidu.com/search/spider.html) - 200 7037 221
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-11-07 03:58:46
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-11-07 03:58:45 GET /utility/convert/index.php - 171.25.193.25 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/56.0.2924.87+Safari/537.36 - 404 1405 319
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-11-07 04:48:38
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-11-07 04:48:37 GET /single.html - 180.76.15.149 HTTP/1.1 Mozilla/5.0+(compatible;+Baiduspider/2.0;++http://www.baidu.com/search/spider.html) - 404 1424 236
