#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-04-26 10:31:59
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-04-26 10:31:58 GET / - 54.245.155.92 HTTP/1.1 Mozilla/5.0+(Macintosh;+PPC+Mac+OS+X+10.11;+rv:48.0)+Gecko/20100101+Firefox/48.0 - 200 23480 331
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-04-26 12:50:43
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-04-26 12:50:42 GET /robots.txt - 95.216.2.253 HTTP/1.1 Mozilla/5.0+(compatible;+MJ12bot/v1.4.8;+http://mj12bot.com/) - 404 1405 167
2018-04-26 12:50:45 GET / - 95.216.2.253 HTTP/1.1 Mozilla/5.0+(compatible;+MJ12bot/v1.4.8;+http://mj12bot.com/) - 200 23480 344
2018-04-26 12:50:47 GET /index.html - 95.216.2.253 HTTP/1.1 Mozilla/5.0+(compatible;+MJ12bot/v1.4.8;+http://mj12bot.com/) - 200 5621 377
2018-04-26 12:51:43 GET /robots.txt - 95.216.2.253 HTTP/1.0 Mozilla/5.0+(compatible;+MJ12bot/v1.4.8;+http://mj12bot.com/) - 404 1424 166
2018-04-26 12:51:51 GET / - 95.216.2.253 HTTP/1.0 Mozilla/5.0+(compatible;+MJ12bot/v1.4.8;+http://mj12bot.com/) - 200 23504 372
2018-04-26 12:52:05 GET /index.html - 95.216.2.253 HTTP/1.1 Mozilla/5.0+(compatible;+MJ12bot/v1.4.8;+http://mj12bot.com/) - 200 7018 381
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-04-26 13:34:50
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-04-26 13:34:50 GET / - 176.9.58.227 HTTP/1.1 Mozilla/5.0+(compatible;+MegaIndex.ru/2.0;++http://megaindex.com/crawler) - 200 7018 177
