#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-07-06 12:24:39
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-07-06 12:24:39 GET /images/g8.jpg - 54.36.148.205 HTTP/1.1 Mozilla/5.0+(compatible;+AhrefsBot/5.2;++http://ahrefs.com/robot/) - 200 0 187
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-07-06 17:11:21
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-07-06 17:11:21 GET /css/bootstrap.css - 180.76.15.137 HTTP/1.1 Mozilla/5.0+(compatible;+Baiduspider/2.0;++http://www.baidu.com/search/spider.html) - 200 27128 238
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-07-06 18:48:53
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-07-06 18:48:53 GET /robots.txt - 5.45.207.33 HTTP/1.1 Mozilla/5.0+(compatible;+YandexBot/3.0;++http://yandex.com/bots) - 404 1405 202
2018-07-06 18:48:53 GET /robots.txt - 141.8.132.37 HTTP/1.1 Mozilla/5.0+(compatible;+YandexBot/3.0;++http://yandex.com/bots) - 404 1405 206
2018-07-06 18:48:57 GET / - 141.8.132.37 HTTP/1.1 Mozilla/5.0+(compatible;+YandexBot/3.0;++http://yandex.com/bots) - 200 7018 288
2018-07-06 18:48:57 GET / - 141.8.132.37 HTTP/1.1 Mozilla/5.0+(compatible;+YandexBot/3.0;++http://yandex.com/bots) - 200 5621 284
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-07-07 02:03:27
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-07-07 02:03:27 GET /robots.txt - 91.121.86.136 HTTP/1.1 Mozilla/5.0+(compatible;+MJ12bot/v1.4.7;+http://mj12bot.com/) - 404 1405 167
2018-07-07 02:03:31 GET / - 91.121.86.136 HTTP/1.1 Mozilla/5.0+(compatible;+MJ12bot/v1.4.7;+http://mj12bot.com/) - 200 23480 344
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-07-07 02:26:20
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-07-07 02:26:20 GET /robots.txt - 5.45.207.33 HTTP/1.1 Mozilla/5.0+(compatible;+YandexBot/3.0;++http://yandex.com/bots) - 404 1405 206
2018-07-07 02:26:23 GET /images/s2.jpg - 5.45.207.33 HTTP/1.1 Mozilla/5.0+(compatible;+YandexImages/3.0;++http://yandex.com/bots) - 304 209 293
