#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-01-16 07:02:23
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-01-16 07:02:23 GET / - 209.17.97.74 HTTP/1.1 Mozilla/5.0+(compatible;+Nimbostratus-Bot/v1.3.2;+http://cloudsystemnetworks.com) - 200 23480 140
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-01-16 07:35:55
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-01-16 07:35:55 GET /robots.txt - 207.241.232.234 HTTP/1.0 Mozilla/5.0+(compatible;+NLNZ_IAHarvester2019/3.3.0++https://natlib.govt.nz/publishers-and-authors/web-harvesting/domain-harvest) - 404 1424 541
2019-01-16 07:36:01 GET /fonts/glyphicons-halflings-regulard41d.eot - 207.241.232.234 HTTP/1.0 Mozilla/5.0+(compatible;+NLNZ_IAHarvester2019/3.3.0++https://natlib.govt.nz/publishers-and-authors/web-harvesting/domain-harvest) http://crossroadsbar.co.nz/css/bootstrap.css 200 20410 628
2019-01-16 07:36:02 GET /fonts/glyphicons-halflings-regular.woff - 207.241.232.234 HTTP/1.0 Mozilla/5.0+(compatible;+NLNZ_IAHarvester2019/3.3.0++https://natlib.govt.nz/publishers-and-authors/web-harvesting/domain-harvest) http://crossroadsbar.co.nz/css/bootstrap.css 404 1424 625
2019-01-16 07:36:11 GET /fonts/glyphicons-halflings-regular.ttf - 207.241.232.234 HTTP/1.0 Mozilla/5.0+(compatible;+NLNZ_IAHarvester2019/3.3.0++https://natlib.govt.nz/publishers-and-authors/web-harvesting/domain-harvest) http://crossroadsbar.co.nz/css/bootstrap.css 200 45686 624
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-01-16 09:01:48
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
