#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-04-03 07:15:19
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-04-03 07:15:19 POST /wp-content/plugins/log.php - 193.106.30.98 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+rv:34.0)+Gecko/20100101+Firefox/34.0 - 404 1405 317
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-04-03 09:05:46
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-04-03 09:05:46 GET / - 148.255.15.171 HTTP/1.0 Mozilla/5.0+(Windows;+U;+Windows+NT+6.1;+en;+rv:1.9.2.13)+Gecko/20101203+Firefox/3.6.13 http://crossroadsbar.co.nz 200 23499 196
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-04-03 09:39:43
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-04-03 09:39:43 GET /wp-content/plugins/wp-symposium/readme.txt - 23.228.81.10 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/42.0.2311.152+Safari/537.36 http://www.crossroadsbar.co.nz/wp-content/plugins/wp-symposium/readme.txt 404 1424 455
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-04-03 10:50:32
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-04-03 10:50:31 HEAD / - 188.165.200.217 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.01;+Windows+NT+5.0) - 200 249 124
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-04-03 13:53:21
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
