#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-03-03 07:11:43
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-03-03 07:11:43 GET / - 74.85.209.172 HTTP/1.1 =Mozilla/5.0+(Windows;+U;+Windows+NT+6.1;+en-US)+AppleWebKit/534.16+(KHTML,+like+Gecko)+Chrome/10.0.648.204+Safari/534.16 - 200 34836 217
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-03-03 23:55:03
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-03-03 23:55:03 GET /robots.txt - 66.249.79.83 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 404 1405 229
2017-03-03 23:55:03 GET / - 66.249.79.89 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+Nexus+5X+Build/MMB29P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/41.0.2272.96+Mobile+Safari/537.36+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 200 34836 422
2017-03-03 23:55:07 GET /css/style.css - 66.249.79.83 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) http://kaiparatavern.co.nz/ 200 46677 330
2017-03-03 23:55:07 GET /css/jQuery.lightninBox.css - 66.249.79.83 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) http://kaiparatavern.co.nz/ 200 5227 343
2017-03-03 23:55:07 GET /css/font-awesome.min.css - 66.249.79.83 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) http://kaiparatavern.co.nz/ 200 29179 341
2017-03-03 23:55:08 GET /css/bootstrap.min.css - 66.249.79.83 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) http://kaiparatavern.co.nz/ 200 121509 338
