#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-04-18 08:37:51
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-04-18 08:37:50 HEAD / - 118.193.203.247 HTTP/1.1 python-requests/2.10.0 - 200 295 155
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-04-18 10:04:52
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-04-18 10:04:52 GET /robots.txt - 180.76.15.143 HTTP/1.1 Mozilla/5.0+(Windows+NT+5.1;+rv:6.0.2)+Gecko/20100101+Firefox/6.0.2 - 404 1424 225
2017-04-18 10:04:53 GET /robots.txt - 180.76.15.139 HTTP/1.1 Mozilla/5.0+(Windows+NT+5.1;+rv:6.0.2)+Gecko/20100101+Firefox/6.0.2 - 404 1424 225
2017-04-18 10:05:28 GET / - 180.76.15.135 HTTP/1.1 Mozilla/5.0+(compatible;+Baiduspider/2.0;++http://www.baidu.com/search/spider.html) - 200 8228 225
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-04-18 15:23:11
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-04-18 15:23:11 GET /robots.txt - 208.43.225.85 HTTP/1.1 Mozilla/5.0+(compatible;+SiteExplorer/1.1b;++http://siteexplorer.info/Backlink-Checker-Spider/) - 404 1405 215
2017-04-18 15:23:16 GET / - 208.43.225.85 HTTP/1.1 Mozilla/5.0+(compatible;+SiteExplorer/1.1b;++http://siteexplorer.info/Backlink-Checker-Spider/) - 200 8209 205
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-04-18 16:52:21
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
