#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-06-06 14:08:57
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-06-06 14:08:57 POST /jm-ajax/upload_file - 163.172.39.144 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+rv:36.0)+Gecko/20100101+Firefox/36.0 - 404 1405 3575
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-06-06 16:28:14
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-06-06 16:28:14 GET /robots.txt - 66.249.79.159 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 404 1405 233
2017-06-06 16:28:15 GET / - 66.249.79.157 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 200 8209 300
2017-06-06 16:28:17 GET /css/jQuery.lightninBox.css - 66.249.79.158 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) http://www.kaiparatavern.co.nz/ 200 1481 351
2017-06-06 16:28:17 GET /css/bootstrap.min.css - 66.249.79.157 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) http://www.kaiparatavern.co.nz/ 200 27990 346
2017-06-06 16:28:18 GET /css/team.css - 66.249.79.158 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) http://www.kaiparatavern.co.nz/ 200 1027 337
2017-06-06 16:28:18 GET /css/font-awesome.min.css - 66.249.79.157 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) http://www.kaiparatavern.co.nz/ 200 8118 349
2017-06-06 16:28:20 GET /css/style.css - 66.249.79.157 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) http://www.kaiparatavern.co.nz/ 200 11722 338
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
