#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-06-14 07:57:37
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-06-14 07:57:36 POST /index.php - 121.61.4.24 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/index.php?m=member&c=index&a=register&siteid=1 404 1405 548
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-06-14 11:16:54
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-06-14 11:16:54 GET /robots.txt - 208.43.225.85 HTTP/1.1 Mozilla/5.0+(compatible;+SiteExplorer/1.1b;++http://siteexplorer.info/Backlink-Checker-Spider/) - 404 1405 215
2017-06-14 11:16:58 GET / - 208.43.225.85 HTTP/1.1 Mozilla/5.0+(compatible;+SiteExplorer/1.1b;++http://siteexplorer.info/Backlink-Checker-Spider/) - 200 34836 205
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-06-14 12:10:51
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-06-14 12:10:50 POST / - 173.208.129.58 HTTP/1.1 Mozilla/5.0+(Windows;+Windows+NT+5.1;+en-US)+Firefox/3.5.0 http://kaiparatavern.co.nz/wp-admin/ 405 1515 280
2017-06-14 12:10:52 POST /uploadify/uploadify.php - 173.208.129.58 HTTP/1.1 Mozilla/5.0+(Windows;+Windows+NT+5.1;+en-US)+Firefox/3.5.0 http://kaiparatavern.co.nz/wp-admin/ 404 1424 312
2017-06-14 12:10:52 POST /wp-admin/admin-ajax.php - 173.208.129.58 HTTP/1.1 Mozilla/5.0+(Windows;+Windows+NT+5.1;+en-US)+Firefox/3.5.0 http://kaiparatavern.co.nz/wp-admin/ 404 1424 303
