#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-06-28 09:34:16
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-06-28 09:34:15 GET /wp-login.php - 192.187.98.86 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1;+125LA;+.NET+CLR+2.0.50727;+.NET+CLR+3.0.04506.648;+.NET+CLR+3.5.21022) http://kaiparatavern.co.nz/wp-login.php 404 1405 353
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-06-28 17:24:22
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-06-28 17:24:22 GET /robots.txt - 66.249.79.75 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 404 1405 229
2017-06-28 17:24:23 GET / - 66.249.79.73 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 200 8209 296
2017-06-28 17:34:22 GET / - 66.249.79.75 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+Nexus+5X+Build/MMB29P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/41.0.2272.96+Mobile+Safari/537.36+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 200 8209 422
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-06-28 18:48:36
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-06-28 18:48:36 GET /robots.txt - 178.154.189.33 HTTP/1.1 Mozilla/5.0+(compatible;+YandexBot/3.0;++http://yandex.com/bots) - 404 1405 193
2017-06-28 18:48:40 GET /favicon.ico - 178.154.189.33 HTTP/1.1 Mozilla/5.0+(compatible;+YandexBot/3.0;++http://yandex.com/bots) - 404 1405 238
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-06-28 22:27:24
