#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-09-26 07:30:41
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-09-26 07:30:40 GET /robots.txt - 46.229.164.100 HTTP/1.1 Mozilla/5.0+(compatible;+SemrushBot/1.2~bl;++http://www.semrush.com/bot.html) - 404 1424 213
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-09-26 08:18:32
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-09-26 08:18:32 GET /fonts/fontawesome-webfont.woff2 - 124.197.32.212 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1;+MZ-m3+note+Build/LMY47I)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Version/4.0+Chrome/45.0.2454.94+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/css/font-awesome.min.css 404 1405 410
2017-09-26 08:18:32 GET /css/images/cd-top-arrow.svg - 124.197.32.212 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1;+MZ-m3+note+Build/LMY47I)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Version/4.0+Chrome/45.0.2454.94+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/css/style.css 404 1405 412
2017-09-26 08:18:32 GET /fonts/fontawesome-webfont.woff - 124.197.32.212 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1;+MZ-m3+note+Build/LMY47I)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Version/4.0+Chrome/45.0.2454.94+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/css/font-awesome.min.css 404 1405 409
2017-09-26 08:18:34 GET /favicon.ico - 124.197.32.212 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1;+MZ-m3+note+Build/LMY47I)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Version/4.0+Chrome/45.0.2454.94+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 404 1405 358
2017-09-26 08:18:36 GET /images/banner2.jpg - 124.197.32.212 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1;+MZ-m3+note+Build/LMY47I)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Version/4.0+Chrome/45.0.2454.94+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 46855 390
2017-09-26 08:18:40 GET /images/banner3.jpg - 124.197.32.212 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1;+MZ-m3+note+Build/LMY47I)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Version/4.0+Chrome/45.0.2454.94+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 448536 390
