#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-12-10 10:08:33
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-12-10 10:08:33 GET / - 13.56.229.65 HTTP/1.1 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_12_6)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/61.0.3163.100+Safari/537.36 - 200 34836 207
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-12-10 17:22:05
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-12-10 17:22:05 GET / - 209.95.182.214 HTTP/1.1 =Mozilla/5.0+(Windows;+U;+Windows+NT+6.1;+en-US)+AppleWebKit/534.16+(KHTML,+like+Gecko)+Chrome/10.0.648.204+Safari/534.16 - 200 34836 217
2017-12-10 17:24:51 GET /wp/wp-admin/setup-config.php - 63.141.244.250 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+Trident/7.0;+rv:11.0)+like+Gecko - 404 1405 266
2017-12-10 17:24:51 GET /wordpress/wp-admin/setup-config.php - 63.141.244.250 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+Trident/7.0;+rv:11.0)+like+Gecko - 404 1405 249
2017-12-10 17:24:54 GET /test/wp-admin/setup-config.php - 63.141.244.250 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+Trident/7.0;+rv:11.0)+like+Gecko - 404 1405 244
2017-12-10 17:24:56 GET /blog/wp-admin/setup-config.php - 63.141.244.250 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+Trident/7.0;+rv:11.0)+like+Gecko - 404 1405 244
2017-12-10 17:24:56 GET /old/wp-admin/setup-config.php - 63.141.244.250 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+Trident/7.0;+rv:11.0)+like+Gecko - 404 1405 243
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-12-10 19:58:01
