#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-03-30 07:08:29
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-03-30 07:08:29 OPTIONS / - 118.126.99.93 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.2;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/29.0.1547.0+Safari/537.36 - 200 206 217
2018-03-30 07:13:01 GET / - 66.249.79.8 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 200 8209 300
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-03-30 07:33:17
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-03-30 07:33:17 GET /robots.txt - 46.229.164.99 HTTP/1.1 Mozilla/5.0+(compatible;+SemrushBot/1.2~bl;++http://www.semrush.com/bot.html) - 404 1424 213
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-03-30 07:57:31
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-03-30 07:57:31 GET /images/work-img8.jpg - 66.249.79.8 HTTP/1.1 Googlebot-Image/1.0 - 304 211 257
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-03-30 10:39:31
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-03-30 10:39:30 GET /images/work-img9.jpg - 66.249.79.12 HTTP/1.1 Googlebot-Image/1.0 - 304 211 257
2018-03-30 10:40:41 GET /images/11.jpg - 66.249.79.8 HTTP/1.1 Googlebot-Image/1.0 - 304 211 250
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-03-30 11:16:53
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-03-30 11:16:53 GET /robots.txt - 66.249.79.10 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 404 1405 237
2018-03-30 11:16:53 GET /images/work-img10.jpg - 66.249.79.8 HTTP/1.1 Googlebot-Image/1.0 - 304 211 258
2018-03-30 11:29:16 GET /images/10.jpg - 66.249.79.12 HTTP/1.1 Googlebot-Image/1.0 - 304 210 250
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-03-30 12:41:23
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-03-30 12:41:23 GET /images/6.jpg - 66.249.79.8 HTTP/1.1 Googlebot-Image/1.0 - 304 211 249
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-03-30 15:13:48
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-03-30 15:13:48 GET /js/boot_slider.js - 180.76.15.147 HTTP/1.1 Mozilla/5.0+(compatible;+Baiduspider/2.0;++http://www.baidu.com/search/spider.html) - 200 2064 242
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-03-30 16:41:42
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-03-30 16:41:42 GET /robots.txt - 46.229.164.99 HTTP/1.1 Mozilla/5.0+(compatible;+SemrushBot/1.2~bl;++http://www.semrush.com/bot.html) - 404 1424 213
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-03-30 17:06:35
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-03-30 17:06:35 GET /images/5.jpg - 66.249.79.12 HTTP/1.1 Googlebot-Image/1.0 - 304 211 249
2018-03-30 17:09:30 GET /robots.txt - 5.45.207.33 HTTP/1.1 Mozilla/5.0+(compatible;+YandexBot/3.0;++http://yandex.com/bots) - 404 1405 202
2018-03-30 17:09:30 GET /robots.txt - 141.8.132.37 HTTP/1.1 Mozilla/5.0+(compatible;+YandexBot/3.0;++http://yandex.com/bots) - 404 1405 206
2018-03-30 17:09:34 GET / - 5.45.207.33 HTTP/1.1 Mozilla/5.0+(compatible;+YandexBot/3.0;++http://yandex.com/bots) - 200 8209 284
2018-03-30 17:09:34 GET / - 141.8.132.37 HTTP/1.1 Mozilla/5.0+(compatible;+YandexBot/3.0;++http://yandex.com/bots) - 200 6457 288
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-03-30 17:41:20
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-03-30 17:41:20 GET / - 180.76.15.154 HTTP/1.1 Mozilla/5.0+(compatible;+Baiduspider/2.0;++http://www.baidu.com/search/spider.html) - 200 8228 225
2018-03-30 17:53:02 GET /images/4.jpg - 66.249.79.8 HTTP/1.1 Googlebot-Image/1.0 - 304 211 249
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-03-30 18:11:35
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-03-30 18:11:35 GET /images/work-img9.jpg - 66.249.79.10 HTTP/1.1 Googlebot-Image/1.0 - 304 211 257
2018-03-30 18:14:41 GET /css/team.css - 180.76.15.144 HTTP/1.1 Mozilla/5.0+(compatible;+Baiduspider/2.0;++http://www.baidu.com/search/spider.html) - 200 1046 237
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-03-30 19:59:24
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-03-30 19:59:24 GET /images/5.jpg - 66.249.79.8 HTTP/1.1 Googlebot-Image/1.0 - 304 211 249
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
