#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-05-09 10:43:42
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-05-09 10:43:42 GET / - 5.188.211.13 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+SV1) - 200 34855 206
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-05-09 11:04:18
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-05-09 11:04:18 GET /images/9.jpg - 66.249.66.157 HTTP/1.1 Googlebot-Image/1.0 - 304 211 249
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-05-09 15:26:17
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-05-09 15:26:17 GET /images/work-img10.jpg - 66.249.66.158 HTTP/1.1 Googlebot-Image/1.0 - 304 211 258
2018-05-09 15:41:13 GET /robots.txt - 5.45.207.33 HTTP/1.1 Mozilla/5.0+(compatible;+YandexBot/3.0;++http://yandex.com/bots) - 404 1405 206
2018-05-09 15:41:17 GET /favicon.ico - 5.45.207.33 HTTP/1.1 Mozilla/5.0+(compatible;+YandexBot/3.0;++http://yandex.com/bots) - 404 1405 238
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-05-09 20:56:16
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-05-09 20:56:15 GET /robots.txt - 66.249.79.45 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 404 1405 237
2018-05-09 20:56:16 GET /images/logo.png - 66.249.79.48 HTTP/1.1 Googlebot-Image/1.0 - 304 211 252
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-05-09 22:34:18
