#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-06-15 07:19:15
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-06-15 07:19:15 GET / - 66.249.79.48 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 200 8209 300
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-06-15 07:59:22
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-06-15 07:59:22 GET / - 121.74.193.144 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.87+Safari/537.36 https://www.google.co.nz/ 200 8209 448
2018-06-15 07:59:22 GET /css/jQuery.lightninBox.css - 121.74.193.144 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.87+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 1481 383
2018-06-15 07:59:22 GET /css/team.css - 121.74.193.144 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.87+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 1027 369
2018-06-15 07:59:22 GET /css/font-awesome.min.css - 121.74.193.144 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.87+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 8118 381
2018-06-15 07:59:23 GET /images/logo.png - 121.74.193.144 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.87+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 9464 393
2018-06-15 07:59:23 GET /js/modernizr.custom.js - 121.74.193.144 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.87+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 4923 364
