#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-07-30 09:08:18
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-07-30 09:08:17 GET / - 42.236.54.2 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/50.0.2661.102+Safari/537.36;+360Spider http://kaiparatavern.co.nz/ 200 0 319
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-07-30 12:15:26
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-07-30 12:15:26 GET / - 122.114.151.124 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz 200 34836 256
2018-07-30 12:15:26 POST /plus/90sec.php - 122.114.151.124 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/plus/90sec.php 404 1405 654
2018-07-30 12:15:29 POST /plus/spider.php - 122.114.151.124 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/plus/spider.php 404 1405 657
2018-07-30 12:15:29 POST /plus/e7xue.php - 122.114.151.124 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/plus/e7xue.php 404 1405 654
2018-07-30 12:15:30 POST /plus/mycak.php - 122.114.151.124 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/plus/mycak.php 404 1405 654
2018-07-30 12:15:30 POST /sitemap/templates/met/SqlIn.asp - 122.114.151.124 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/sitemap/templates/met/SqlIn.asp 404 1405 1138
