#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-11-29 09:04:03
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-11-29 09:04:02 POST /index.php - 180.97.215.41 HTTP/1.1 Mozilla/4.0+(compatible;+Win32;+WinHttp.WinHttpRequest.5) - 404 1405 455
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-11-29 10:00:16
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-11-29 10:00:15 GET /robots.txt - 66.249.66.204 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 404 1405 237
2018-11-29 10:00:16 GET / - 66.249.66.200 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+Nexus+5X+Build/MMB29P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/41.0.2272.96+Mobile+Safari/537.36+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 200 8209 426
2018-11-29 10:00:35 GET /css/font-awesome.min.css - 66.249.66.202 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+Nexus+5X+Build/MMB29P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/41.0.2272.96+Mobile+Safari/537.36+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) http://www.kaiparatavern.co.nz/ 200 8118 471
2018-11-29 10:00:35 GET /css/images/cd-top-arrow.svg - 66.249.66.202 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+Nexus+5X+Build/MMB29P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/41.0.2272.96+Mobile+Safari/537.36+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) http://www.kaiparatavern.co.nz/css/style.css 404 1405 489
2018-11-29 10:01:56 GET /favicon.ico - 66.249.66.200 HTTP/1.1 Googlebot-Image/1.0 - 404 1405 198
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-11-29 10:44:05
