#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-05-13 09:23:06
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-05-13 09:23:06 GET /wp-content/uploads/levoslideshow/1_uploadfolder/big/ - 104.148.64.26 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/42.0.2311.152+Safari/537.36 http://kaiparatavern.co.nz/wp-content/uploads/levoslideshow/1_uploadfolder/big/ 404 1424 467
2019-05-13 09:34:26 GET /robots.txt - 157.55.39.21 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - 404 1405 256
2019-05-13 09:34:30 GET / - 40.77.167.53 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - 200 8209 278
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-05-13 11:27:52
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-05-13 11:27:52 GET / - 66.249.64.114 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+Nexus+5X+Build/MMB29P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/41.0.2272.96+Mobile+Safari/537.36+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 200 8209 558
2019-05-13 11:27:54 GET /css/font-awesome.min.css - 66.249.64.114 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+Nexus+5X+Build/MMB29P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/41.0.2272.96+Mobile+Safari/537.36+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) http://www.kaiparatavern.co.nz/ 200 8118 471
2019-05-13 11:27:54 GET /css/team.css - 66.249.64.116 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+Nexus+5X+Build/MMB29P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/41.0.2272.96+Mobile+Safari/537.36+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) http://www.kaiparatavern.co.nz/ 200 1027 459
2019-05-13 11:27:56 GET /css/jQuery.lightninBox.css - 66.249.64.114 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+Nexus+5X+Build/MMB29P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/41.0.2272.96+Mobile+Safari/537.36+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) http://www.kaiparatavern.co.nz/ 200 1481 473
