#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-07-16 08:42:59
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-07-16 08:42:58 GET /robots.txt - 51.75.13.156 HTTP/1.1 Go-http-client/1.1 - 404 1405 110
2019-07-16 08:43:00 GET / - 51.75.13.156 HTTP/1.1 Mozilla/5.0+(compatible;+VelenPublicWebCrawler/1.0;++https://velen.io) - 200 8209 152
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-07-16 09:00:55
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-07-16 09:00:55 GET / - 144.139.209.139 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/75.0.3770.142+Safari/537.36 https://www.google.com/ 200 8209 477
2019-07-16 09:00:55 GET /css/team.css - 144.139.209.139 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/75.0.3770.142+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 1027 367
2019-07-16 09:00:55 GET /css/jQuery.lightninBox.css - 144.139.209.139 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/75.0.3770.142+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 1481 381
2019-07-16 09:00:55 GET /css/font-awesome.min.css - 144.139.209.139 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/75.0.3770.142+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 8118 379
2019-07-16 09:00:56 GET /js/modernizr.custom.js - 144.139.209.139 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/75.0.3770.142+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 4923 362
2019-07-16 09:00:56 GET /images/logo.png - 144.139.209.139 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/75.0.3770.142+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 9464 391
