#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-07-30 10:51:40
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-07-30 10:51:39 GET / - 209.17.97.34 HTTP/1.1 Mozilla/5.0+(compatible;+Nimbostratus-Bot/v1.3.2;+http://cloudsystemnetworks.com) - 200 34836 140
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-07-30 13:33:19
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-07-30 13:33:19 GET /css/jQuery.lightninBox.css - 91.125.241.158 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/75.0.3770.142+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 5227 393
2019-07-30 13:33:19 GET / - 91.125.241.158 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/75.0.3770.142+Safari/537.36 https://www.google.com/ 200 34836 489
2019-07-30 13:33:19 GET /css/team.css - 91.125.241.158 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/75.0.3770.142+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 3537 379
2019-07-30 13:33:19 GET /css/font-awesome.min.css - 91.125.241.158 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/75.0.3770.142+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 29179 391
2019-07-30 13:33:19 GET /js/modernizr.custom.js - 91.125.241.158 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/75.0.3770.142+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 8758 374
2019-07-30 13:33:19 GET /images/logo.png - 91.125.241.158 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/75.0.3770.142+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 9464 403
