#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-02-05 10:13:36
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-02-05 10:13:36 GET / - 79.134.218.13 HTTP/1.1 <a+href="http://forum.windowsfaq.ru/">Forum.WindowsFAQ.ru</a> <a+href="http://forum.windowsfaq.ru/">Forum.WindowsFAQ.ru</a> 200 959 305
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-02-05 13:40:47
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-02-05 13:40:47 GET /wp-login.php - 94.242.243.173 HTTP/1.1 Opera/9.80+(Windows+NT+6.0)+Presto/2.12.388+Version/12.14 http://ngateahotel.co.nz/wp-login.php 404 1405 247
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-02-05 14:25:28
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-02-05 14:25:28 GET /administrator/index.php - 94.242.243.173 HTTP/1.1 Opera/9.80+(Windows+NT+6.0)+Presto/2.12.388+Version/12.14 http://ngateahotel.co.nz/administrator/index.php 404 1405 269
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-02-05 15:10:04
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-02-05 15:10:03 GET /bitrix/admin/ - 94.242.243.173 HTTP/1.1 Opera/9.80+(Windows+NT+6.0)+Presto/2.12.388+Version/12.14 http://ngateahotel.co.nz/bitrix/admin/ 404 1405 249
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-02-05 15:54:28
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
