#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-02-16 08:01:45
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-02-16 08:01:45 HEAD / - 218.87.53.90 HTTP/1.1 Mozilla/5.0+(compatible;+MSIE+9.0;+Windows+NT+6.1;+Trident/5.0) - 200 220 342
2017-02-16 08:01:45 GET / - 218.87.53.90 HTTP/1.1 Mozilla/5.0+(compatible;+MSIE+9.0;+Windows+NT+6.1;+Trident/5.0) - 200 959 341
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-02-16 09:18:06
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-02-16 09:18:05 GET /robots.txt - 37.187.56.76 HTTP/1.0 - - 404 1424 71
2017-02-16 09:18:05 GET / - 37.187.56.76 HTTP/1.1 Mozilla/5.0+(X11;+Linux+i686;+rv:21.0)+Gecko/20100101+Firefox/21.0 - 200 959 163
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-02-16 09:54:03
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-02-16 09:54:03 GET /robots.txt - 141.8.142.178 HTTP/1.1 Mozilla/5.0+(compatible;+YandexBot/3.0;++http://yandex.com/bots) - 404 1405 191
2017-02-16 09:54:07 GET /favicon.ico - 5.255.253.29 HTTP/1.1 Mozilla/5.0+(compatible;+YandexBot/3.0;++http://yandex.com/bots) - 404 1405 297
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-02-16 13:32:36
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-02-16 13:32:36 GET /robots.txt - 66.249.79.175 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 404 1405 231
2017-02-16 13:32:36 GET /225723/html/page.html - 66.249.79.178 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 404 1405 319
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-02-16 19:58:56
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-02-16 19:58:56 GET /robots.txt - 68.180.230.50 HTTP/1.1 Mozilla/5.0+(compatible;+Yahoo!+Slurp;+http://help.yahoo.com/help/us/ysearch/slurp) - 404 1405 163
2017-02-16 19:58:56 GET / - 68.180.230.50 HTTP/1.1 Mozilla/5.0+(compatible;+Yahoo!+Slurp;+http://help.yahoo.com/help/us/ysearch/slurp) - 200 818 176
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-02-16 21:46:55
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-02-16 21:46:55 GET / - 180.76.15.19 HTTP/1.1 Mozilla/5.0+(compatible;+Baiduspider/2.0;++http://www.baidu.com/search/spider.html) - 200 978 187
2017-02-16 21:48:17 GET / - 180.76.15.163 HTTP/1.1 Mozilla/5.0+(compatible;+Baiduspider/2.0;++http://www.baidu.com/search/spider.html) - 200 978 187
