#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-10-03 07:45:23
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-10-03 07:45:22 GET / - 34.235.171.187 HTTP/1.1 Mozilla/5.0+(X11;+Ubuntu;+Linux+x86_64;+rv:30.0)+Gecko/20100101+Firefox/30.0 - 200 103142 287
2017-10-03 07:49:47 GET /Map.html - 66.249.79.21 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 404 1405 306
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-10-03 11:37:20
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-10-03 11:37:20 GET /robots.txt - 5.255.253.34 HTTP/1.1 Mozilla/5.0+(compatible;+YandexBot/3.0;++http://yandex.com/bots) - 404 1405 191
2017-10-03 11:37:23 GET /favicon.ico - 5.255.253.34 HTTP/1.1 Mozilla/5.0+(compatible;+YandexBot/3.0;++http://yandex.com/bots) - 404 1405 236
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-10-03 14:30:56
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-10-03 14:30:56 POST / - 173.208.146.2 HTTP/1.1 Mozilla/5.0+(Windows;+Windows+NT+5.1;+en-US)+Firefox/3.5.0 http://ngateahotel.co.nz/wp-admin/ 405 1515 276
2017-10-03 14:30:56 GET /static/js/tiny_mce/plugins/tinybrowser/upload.php - 173.208.146.2 HTTP/1.1 Mozilla/5.0+(compatible;+MSIE+9.0;+Windows+NT+6.1;+Trident/5.0) - 404 1405 264
2017-10-03 14:30:56 GET /admin/lib/tiny_mce/plugins/tinybrowser/upload.php - 173.208.146.2 HTTP/1.1 Mozilla/5.0+(compatible;+MSIE+9.0;+Windows+NT+6.1;+Trident/5.0) - 404 1405 264
2017-10-03 14:30:57 GET /tiny_mce/plugins/tinybrowser/upload.php - 173.208.146.2 HTTP/1.1 Mozilla/5.0+(compatible;+MSIE+9.0;+Windows+NT+6.1;+Trident/5.0) - 404 1405 254
2017-10-03 14:30:58 GET /editors/tinymce/jscripts/tiny_mce/plugins/tinybrowser/upload.php - 173.208.146.2 HTTP/1.1 Mozilla/5.0+(compatible;+MSIE+9.0;+Windows+NT+6.1;+Trident/5.0) - 404 1405 279
2017-10-03 14:30:58 POST /uploadify/uploadify.php - 173.208.146.2 HTTP/1.1 Mozilla/5.0+(Windows;+Windows+NT+5.1;+en-US)+Firefox/3.5.0 http://ngateahotel.co.nz/wp-admin/ 404 1424 308
2017-10-03 14:30:58 POST /wp-admin/admin-ajax.php - 173.208.146.2 HTTP/1.1 Mozilla/5.0+(Windows;+Windows+NT+5.1;+en-US)+Firefox/3.5.0 http://ngateahotel.co.nz/wp-admin/ 404 1424 299
2017-10-03 14:30:59 POST /license.php - 173.208.146.2 HTTP/1.1 Mozilla/5.0+(Windows;+Windows+NT+5.1;+en-US)+Firefox/3.5.0 http://ngateahotel.co.nz/wp-admin/ 404 1424 287
2017-10-03 14:30:59 POST /wp-admin/admin-ajax.php - 173.208.146.2 HTTP/1.1 Mozilla/5.0+(compatible;+MSIE+9.0;+Windows+NT+6.1;+Trident/5.0) - 404 1405 762
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-10-03 15:24:48
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-10-03 15:24:48 GET / - 202.36.76.21 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.3;+WOW64;+rv:49.0)+Gecko/20100101+Firefox/49.0+-+nzsearch.co.nz - 200 13729 303
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-10-03 18:50:21
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-10-03 18:50:21 GET /administrator/components/com_joomlaupdate/restore.php - 144.76.159.106 HTTP/1.1 Mozilla/5.0+(Windows+NT+5.1;+rv:32.0)+Gecko/20100101+Firefox/32.0 - 404 1405 412
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-10-04 00:58:54
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-10-04 00:58:54 GET / - 52.32.89.136 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.3;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/37.0.2049.0+Safari/537.36 - 200 13748 255
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-10-04 01:48:33
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-10-04 01:48:32 GET /robots.txt - 46.229.164.99 HTTP/1.1 Mozilla/5.0+(compatible;+SemrushBot/1.2~bl;++http://www.semrush.com/bot.html) - 404 1424 211
