#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-10-15 07:52:43
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-10-15 07:52:43 GET /robots.txt - 180.76.15.142 HTTP/1.1 Mozilla/5.0+(Windows+NT+5.1;+rv:6.0.2)+Gecko/20100101+Firefox/6.0.2 - 404 1424 223
2017-10-15 07:52:43 GET /robots.txt - 180.76.15.34 HTTP/1.1 Mozilla/5.0+(Windows+NT+5.1;+rv:6.0.2)+Gecko/20100101+Firefox/6.0.2 - 404 1424 223
2017-10-15 07:54:36 GET /js/prettyphoto/js/{path} - 180.76.15.10 HTTP/1.1 Mozilla/5.0+(compatible;+Baiduspider/2.0;++http://www.baidu.com/search/spider.html) - 404 1424 251
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-10-15 12:23:27
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-10-15 12:23:27 GET /robots.txt - 46.229.164.102 HTTP/1.1 Mozilla/5.0+(compatible;+SemrushBot/1.2~bl;++http://www.semrush.com/bot.html) - 404 1424 211
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-10-15 20:59:50
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-10-15 20:59:49 GET /robots.txt - 207.46.13.76 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - 404 1405 250
2017-10-15 20:59:58 GET / - 40.77.167.25 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - 200 13729 272
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-10-15 23:37:12
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-10-15 23:37:11 GET / - 54.66.149.101 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+Win64;+x64) - 200 103161 147
2017-10-15 23:42:03 GET /robots.txt - 157.55.39.190 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - 404 1405 250
2017-10-15 23:42:03 GET /robots.txt - 157.55.39.190 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - 404 1405 250
2017-10-15 23:42:03 GET /robots.txt - 157.55.39.190 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - 404 1405 250
2017-10-15 23:42:03 GET /robots.txt - 157.55.39.190 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - 404 1405 250
2017-10-15 23:42:03 GET /robots.txt - 157.55.39.190 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - 404 1405 250
2017-10-15 23:42:09 GET /robots.txt - 157.55.39.190 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - 404 1405 250
2017-10-15 23:42:09 GET /robots.txt - 157.55.39.190 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - 404 1405 250
2017-10-15 23:42:10 GET /robots.txt - 157.55.39.190 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - 404 1405 250
2017-10-15 23:42:14 GET /css/colors.css - 207.46.13.23 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - 200 3308 254
2017-10-15 23:42:14 GET /js/contactform.js - 207.46.13.23 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - 200 1385 257
2017-10-15 23:42:14 GET /js/jquery.isotope.min.js - 207.46.13.23 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - 200 6559 264
2017-10-15 23:42:14 GET /css/bootstrap/js/bootstrap.min.js - 157.55.39.225 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - 200 9762 273
2017-10-15 23:42:14 GET /js/prettyphoto/js/jquery.prettyPhoto.js - 207.46.13.23 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - 200 8007 279
2017-10-15 23:42:14 GET /js/init.js - 157.55.39.225 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - 200 1800 250
2017-10-15 23:42:14 GET /js/jquery.flexslider-min.js - 157.55.39.225 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - 200 8289 267
2017-10-15 23:42:16 GET /js/jquery.nicescroll.min.js - 157.55.39.225 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - 200 21445 267
2017-10-15 23:42:16 GET /js/prettyphoto/css/prettyPhoto.css - 157.55.39.225 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - 200 4101 274
2017-10-15 23:42:18 GET /css/bootstrap/css/bootstrap.min.css - 157.55.39.190 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - 200 22905 275
