#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-11-19 16:20:26
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-11-19 16:20:26 GET / - 191.101.201.34 HTTP/1.1 python-requests/2.18.4 - 200 13729 176
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-11-19 18:02:03
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-11-19 18:02:03 GET / - 158.69.228.14 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/52.0.2743.116+Safari/537.36 - 200 13729 320
2017-11-19 18:02:03 GET /css/bootstrap/js/bootstrap.min.js - 158.69.228.14 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/52.0.2743.116+Safari/537.36 http://ngateahotel.co.nz/ 200 9762 329
2017-11-19 18:02:03 GET /js/jquery.easing.min.js - 158.69.228.14 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/52.0.2743.116+Safari/537.36 http://ngateahotel.co.nz/ 200 2644 319
2017-11-19 18:02:03 GET /js/contactform.js - 158.69.228.14 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/52.0.2743.116+Safari/537.36 http://ngateahotel.co.nz/ 200 1385 313
2017-11-19 18:02:03 GET /js/prettyphoto/js/jquery.prettyPhoto.js - 158.69.228.14 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/52.0.2743.116+Safari/537.36 http://ngateahotel.co.nz/ 200 8007 335
2017-11-19 18:02:03 GET /js/jquery.flexslider-min.js - 158.69.228.14 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/52.0.2743.116+Safari/537.36 http://ngateahotel.co.nz/ 200 8289 323
