#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-02-01 07:19:09
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-02-01 07:19:09 HEAD / - 74.115.214.153 HTTP/1.1 Mozilla/5.0+(compatible;+Uptimebot/1.0;++http://www.uptime.com/uptimebot) http://uptime-us.net/ngateahotel.co.nz 200 268 199
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-02-01 10:41:51
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-02-01 10:41:51 GET / - 147.135.137.81 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+Intel+Mac+OS+X+10_6_6;+en-US)+AppleWebKit/534.16+(KHTML,+like+Gecko)+Chrome/10.0.648.134+Safari/534.16 - 200 103142 235
2018-02-01 10:41:52 GET / - 147.135.137.81 HTTP/1.1 Mozilla/5.0+(compatible;+Konqueror/4.3;+Linux)+KHTML/4.3.2+(like+Gecko) - 200 8913 177
2018-02-01 10:52:12 GET /robots.txt - 37.187.56.47 HTTP/1.0 - - 404 1424 71
2018-02-01 10:52:14 GET / - 37.187.56.47 HTTP/1.1 Mozilla/5.0+(X11;+U;+Linux+amd64;+rv:5.0)+Gecko/20100101+Firefox/5.0+(Debian) - 206 103193 174
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-02-01 18:47:05
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-02-01 18:47:05 GET /images/blog/blog-1.jpg - 173.252.80.115 HTTP/1.1 facebookexternalhit/1.1+(+http://www.facebook.com/externalhit_uatext.php) - 200 14403 225
2018-02-01 18:47:06 GET /images/blog/blog-1.jpg - 69.171.225.31 HTTP/1.1 facebookexternalhit/1.1+(+http://www.facebook.com/externalhit_uatext.php) - 200 14403 225
