#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-02-17 08:02:33
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-02-17 08:02:33 POST /lieats.php - 193.106.30.99 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+rv:34.0)+Gecko/20100101+Firefox/34.0 - 404 1405 302
2018-02-17 08:05:40 GET / - 52.34.24.33 HTTP/1.1 Magic+Browser - 200 13729 139
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-02-17 08:35:09
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-02-17 08:35:09 GET / - 13.56.229.65 HTTP/1.1 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_12_6)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/61.0.3163.100+Safari/537.36 - 200 13729 205
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-02-17 12:16:23
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-02-17 12:16:23 GET /robots.txt - 180.76.15.154 HTTP/1.1 Mozilla/5.0+(Windows+NT+5.1;+rv:6.0.2)+Gecko/20100101+Firefox/6.0.2 - 404 1424 223
2018-02-17 12:16:23 GET /robots.txt - 180.76.15.150 HTTP/1.1 Mozilla/5.0+(Windows+NT+5.1;+rv:6.0.2)+Gecko/20100101+Firefox/6.0.2 - 404 1424 223
2018-02-17 12:19:42 GET /js/prettyphoto/js/{path} - 180.76.15.15 HTTP/1.1 Mozilla/5.0+(compatible;+Baiduspider/2.0;++http://www.baidu.com/search/spider.html) - 404 1424 251
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-02-17 15:51:16
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-02-17 15:51:16 GET / - 37.252.14.101 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 200 13729 308
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-02-17 20:23:08
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-02-17 20:23:08 GET /wp-login.php - 91.200.12.28 HTTP/1.1 Mozilla/5.0+(compatible;+MSIE+9.0;+Windows+NT+6.1;+Trident/5.0) - 404 1405 228
2018-02-17 20:23:08 GET /wp-login.php - 91.200.12.28 HTTP/1.1 Mozilla/5.0+(compatible;+MSIE+9.0;+Windows+NT+6.1;+Trident/5.0) - 404 1405 205
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-02-18 05:30:51
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-02-18 05:30:51 GET / - 122.56.199.42 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G900I+Build/MMB29M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/64.0.3282.137+Mobile+Safari/537.36 http://www.google.co.nz/ 200 13729 472
2018-02-18 05:30:51 GET /style.css - 122.56.199.42 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G900I+Build/MMB29M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/64.0.3282.137+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 5866 389
2018-02-18 05:30:51 GET /css/colors.css - 122.56.199.42 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G900I+Build/MMB29M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/64.0.3282.137+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 3308 394
2018-02-18 05:30:51 GET /js/prettyphoto/css/prettyPhoto.css - 122.56.199.42 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G900I+Build/MMB29M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/64.0.3282.137+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 4101 414
2018-02-18 05:30:51 GET /css/bootstrap/css/bootstrap.min.css - 122.56.199.42 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G900I+Build/MMB29M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/64.0.3282.137+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 22905 415
2018-02-18 05:30:53 GET /js/jquery.isotope.min.js - 122.56.199.42 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G900I+Build/MMB29M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/64.0.3282.137+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 6559 389
2018-02-18 05:30:53 GET /js/jquery.easing.min.js - 122.56.199.42 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G900I+Build/MMB29M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/64.0.3282.137+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 2644 388
2018-02-18 05:30:53 GET /js/jquery.flexslider-min.js - 122.56.199.42 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G900I+Build/MMB29M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/64.0.3282.137+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 8289 392
2018-02-18 05:30:53 GET /css/bootstrap/js/bootstrap.min.js - 122.56.199.42 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G900I+Build/MMB29M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/64.0.3282.137+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 9762 398
2018-02-18 05:30:53 GET /js/prettyphoto/js/jquery.prettyPhoto.js - 122.56.199.42 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G900I+Build/MMB29M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/64.0.3282.137+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 8007 404
2018-02-18 05:30:53 GET /js/init.js - 122.56.199.42 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G900I+Build/MMB29M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/64.0.3282.137+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 1800 375
2018-02-18 05:30:53 GET /js/contactform.js - 122.56.199.42 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G900I+Build/MMB29M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/64.0.3282.137+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 1385 382
2018-02-18 05:30:53 GET /images/logo-big.png - 122.56.199.42 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G900I+Build/MMB29M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/64.0.3282.137+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 16600 420
2018-02-18 05:30:53 GET /css/bootstrap/fonts/glyphicons-halflings-regular.woff - 122.56.199.42 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G900I+Build/MMB29M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/64.0.3282.137+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/css/bootstrap/css/bootstrap.min.css 404 1405 491
2018-02-18 05:30:53 GET /js/jquery.form.min.js - 122.56.199.42 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G900I+Build/MMB29M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/64.0.3282.137+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 5510 386
2018-02-18 05:30:53 GET /js/jquery.nicescroll.min.js - 122.56.199.42 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G900I+Build/MMB29M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/64.0.3282.137+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 21445 392
2018-02-18 05:30:53 GET /images/blog/blog-1.jpg - 122.56.199.42 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G900I+Build/MMB29M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/64.0.3282.137+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 14403 423
2018-02-18 05:30:54 GET /images/events/event-4.jpg - 122.56.199.42 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G900I+Build/MMB29M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/64.0.3282.137+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 16101 426
2018-02-18 05:30:54 GET /css/bootstrap/fonts/glyphicons-halflings-regular.ttf - 122.56.199.42 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G900I+Build/MMB29M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/64.0.3282.137+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/css/bootstrap/css/bootstrap.min.css 200 29775 490
