#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-05-10 08:18:20
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-05-10 08:18:20 GET / - 5.188.211.21 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+SV1) - 200 103161 204
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-05-10 08:54:37
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-05-10 08:54:37 GET /robots.txt - 66.249.79.156 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 404 1405 235
2018-05-10 08:54:37 GET /images/gallery/gallery-6.jpg - 66.249.79.156 HTTP/1.1 Googlebot-Image/1.0 - 304 211 263
2018-05-10 08:59:36 GET /images/blog/blog-1.jpg - 66.249.79.153 HTTP/1.1 Googlebot-Image/1.0 - 304 211 257
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-05-10 09:19:56
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-05-10 09:19:56 GET /images/gallery/gallery-3.jpg - 66.249.79.156 HTTP/1.1 Googlebot-Image/1.0 - 304 211 263
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-05-10 09:45:21
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-05-10 09:45:21 GET /images/logo-big.png - 66.249.79.153 HTTP/1.1 Googlebot-Image/1.0 - 304 211 254
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-05-10 10:37:28
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-05-10 10:37:28 GET /images/events/event-4.jpg - 66.249.79.153 HTTP/1.1 Googlebot-Image/1.0 - 304 211 260
