#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-06-06 07:25:44
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-06-06 07:25:44 GET / - 185.156.177.59 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.2;+WOW64;+x64)+AppleWebKit/530.65.12+(KHTML,+like+Gecko)+Chrome/55.1.5310.0048+Safari/532.04+OPR/41.9.4598.9226 http://ngateahotel.co.nz/ 200 13748 304
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-06-06 08:30:23
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-06-06 08:30:23 HEAD /upgrade-network.php - 47.106.157.151 HTTP/1.1 - - 404 0 109
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-06-06 08:53:09
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-06-06 08:53:09 GET /css/bootstrap/fonts/glyphicons-halflings-regular.woff - 118.93.136.75 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.0;+SM-G920I+Build/NRD90M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/63.0.3239.111+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/css/bootstrap/css/bootstrap.min.css 404 1405 489
2018-06-06 08:53:14 GET /images/bkgs/home-bkg.jpg - 118.93.136.75 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.0;+SM-G920I+Build/NRD90M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/63.0.3239.111+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 275939 423
2018-06-06 08:53:22 GET /images/events/event-1.jpg - 118.93.136.75 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.0;+SM-G920I+Build/NRD90M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/63.0.3239.111+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 608557 424
