#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-08-04 08:04:45
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-08-04 08:04:45 HEAD /ads.txt - 165.227.127.56 HTTP/1.1 curl/7.58.0 - 404 160 89
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-08-04 12:02:15
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-08-04 12:02:15 GET /robots.txt - 46.229.168.78 HTTP/1.1 Mozilla/5.0+(compatible;+SemrushBot/2~bl;++http://www.semrush.com/bot.html) - 404 1424 216
2018-08-04 12:02:24 GET / - 46.229.168.84 HTTP/1.1 Mozilla/5.0+(compatible;+SemrushBot/2~bl;++http://www.semrush.com/bot.html) - 200 103161 205
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-08-04 12:20:58
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-08-04 12:20:58 GET / - 46.229.168.71 HTTP/1.1 Mozilla/5.0+(compatible;+SemrushBot/2~bl;++http://www.semrush.com/bot.html) - 200 103161 205
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-08-04 15:26:12
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-08-04 15:26:12 GET /robots.txt - 54.36.150.125 HTTP/1.1 Mozilla/5.0+(compatible;+AhrefsBot/5.2;++http://ahrefs.com/robot/) - 404 1405 182
2018-08-04 15:26:13 GET /images/gallery/gallery-3.jpg - 54.36.148.118 HTTP/1.1 Mozilla/5.0+(compatible;+AhrefsBot/5.2;++http://ahrefs.com/robot/) - 200 0 200
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-08-04 18:29:11
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
