#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-10-20 07:44:55
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-10-20 07:44:54 GET / - 112.5.243.150 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.99+Safari/537.36 https://www.blog4u.top/how-to-generate-traffic-to-your-website-fast/68646325/ 200 13729 413
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-10-20 08:08:47
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-10-20 08:08:47 GET / - 49.224.75.125 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-N950F+Build/R16NW)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/69.0.3497.100+Mobile+Safari/537.36 https://www.google.com/ 200 13729 454
2018-10-20 08:08:47 GET /images/blog/blog-1.jpg - 49.224.75.125 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-N950F+Build/R16NW)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/69.0.3497.100+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 14403 406
2018-10-20 08:08:48 GET /css/colors.css - 49.224.75.125 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-N950F+Build/R16NW)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/69.0.3497.100+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 3308 377
2018-10-20 08:08:48 GET /js/prettyphoto/css/prettyPhoto.css - 49.224.75.125 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-N950F+Build/R16NW)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/69.0.3497.100+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 4101 397
2018-10-20 08:08:48 GET /style.css - 49.224.75.125 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-N950F+Build/R16NW)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/69.0.3497.100+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 5866 372
2018-10-20 08:08:48 GET /images/logo-big.png - 49.224.75.125 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-N950F+Build/R16NW)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/69.0.3497.100+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 16600 403
