#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-11-03 07:37:22
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-11-03 07:37:22 GET / - 23.237.4.26 HTTP/1.1 Mozilla/5.0+(compatible;+AlphaBot/3.2;++http://alphaseobot.com/bot.html) - 200 103142 172
2018-11-03 07:51:24 GET /images/gallery/gallery-2.jpg - 66.249.82.75 HTTP/1.1 Mozilla/5.0+(Windows+NT+5.1;+rv:11.0)+Gecko+Firefox/11.0+(via+ggpht.com+GoogleImageProxy) - 200 16758 236
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-11-03 08:17:55
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-11-03 08:17:55 GET / - 49.224.243.104 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1.1;+SAMSUNG+SM-J200Y+Build/LMY47X)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/7.4+Chrome/59.0.3071.125+Mobile+Safari/537.36 https://www.google.com/ 200 13729 480
2018-11-03 08:17:55 GET /css/colors.css - 49.224.243.104 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1.1;+SAMSUNG+SM-J200Y+Build/LMY47X)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/7.4+Chrome/59.0.3071.125+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 3308 403
2018-11-03 08:17:55 GET /style.css - 49.224.243.104 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1.1;+SAMSUNG+SM-J200Y+Build/LMY47X)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/7.4+Chrome/59.0.3071.125+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 5866 398
2018-11-03 08:17:55 GET /js/prettyphoto/css/prettyPhoto.css - 49.224.243.104 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1.1;+SAMSUNG+SM-J200Y+Build/LMY47X)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/7.4+Chrome/59.0.3071.125+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 4101 423
2018-11-03 08:17:56 GET /css/bootstrap/css/bootstrap.min.css - 49.224.243.104 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1.1;+SAMSUNG+SM-J200Y+Build/LMY47X)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/7.4+Chrome/59.0.3071.125+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 22905 424
2018-11-03 08:17:56 GET /js/jquery.easing.min.js - 49.224.243.104 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1.1;+SAMSUNG+SM-J200Y+Build/LMY47X)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/7.4+Chrome/59.0.3071.125+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 2644 397
2018-11-03 08:17:56 GET /js/prettyphoto/js/jquery.prettyPhoto.js - 49.224.243.104 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1.1;+SAMSUNG+SM-J200Y+Build/LMY47X)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/7.4+Chrome/59.0.3071.125+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 8007 413
2018-11-03 08:17:56 GET /js/jquery.flexslider-min.js - 49.224.243.104 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1.1;+SAMSUNG+SM-J200Y+Build/LMY47X)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/7.4+Chrome/59.0.3071.125+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 8289 401
2018-11-03 08:17:56 GET /css/bootstrap/js/bootstrap.min.js - 49.224.243.104 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1.1;+SAMSUNG+SM-J200Y+Build/LMY47X)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/7.4+Chrome/59.0.3071.125+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 9762 407
2018-11-03 08:17:56 GET /js/jquery.isotope.min.js - 49.224.243.104 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1.1;+SAMSUNG+SM-J200Y+Build/LMY47X)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/7.4+Chrome/59.0.3071.125+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 6559 398
2018-11-03 08:17:56 GET /js/contactform.js - 49.224.243.104 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1.1;+SAMSUNG+SM-J200Y+Build/LMY47X)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/7.4+Chrome/59.0.3071.125+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 1385 391
