#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-12-21 07:23:07
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-12-21 07:23:07 OPTIONS / - 119.185.40.183 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.2;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/29.0.1547.0+Safari/537.36 - 200 206 219
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-12-21 08:32:36
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-12-21 08:32:36 GET / - 69.171.251.35 HTTP/1.1 facebookexternalhit/1.1+(+http://www.facebook.com/externalhit_uatext.php) - 206 103212 221
2018-12-21 08:32:38 GET / - 69.171.251.35 HTTP/1.1 facebookexternalhit/1.1+(+http://www.facebook.com/externalhit_uatext.php) - 206 103212 221
2018-12-21 08:32:38 GET / - 69.171.251.35 HTTP/1.1 facebookexternalhit/1.1+(+http://www.facebook.com/externalhit_uatext.php) - 206 103212 221
2018-12-21 08:32:38 GET / - 69.171.251.35 HTTP/1.1 facebookexternalhit/1.1+(+http://www.facebook.com/externalhit_uatext.php) - 206 103212 221
2018-12-21 08:32:38 GET / - 69.171.251.35 HTTP/1.1 facebookexternalhit/1.1+(+http://www.facebook.com/externalhit_uatext.php) - 206 103212 221
2018-12-21 08:32:39 GET / - 69.171.251.35 HTTP/1.1 facebookexternalhit/1.1+(+http://www.facebook.com/externalhit_uatext.php) - 206 103212 221
2018-12-21 08:32:39 GET / - 69.171.251.29 HTTP/1.1 facebookexternalhit/1.1+(+http://www.facebook.com/externalhit_uatext.php) - 206 103212 221
2018-12-21 08:32:39 GET / - 69.171.251.29 HTTP/1.1 facebookexternalhit/1.1+(+http://www.facebook.com/externalhit_uatext.php) - 206 103212 221
2018-12-21 08:32:39 GET / - 69.171.251.39 HTTP/1.1 facebookexternalhit/1.1+(+http://www.facebook.com/externalhit_uatext.php) - 206 103212 221
