#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-06-11 07:33:01
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-06-11 07:33:01 HEAD / - 46.166.190.159 HTTP/1.1 Mozilla/5.0+(compatible;+Uptimebot/1.0;++http://www.uptime.com/uptimebot) https://uptime.com/ngateahotel.co.nz 200 268 210
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-06-11 08:32:22
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-06-11 08:32:22 GET / - 69.171.251.45 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/40.0.2214.85+Safari/537.36 - 200 13729 486
2019-06-11 08:32:22 GET /style.css - 69.171.251.23 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/40.0.2214.85+Safari/537.36 - 200 5866 296
2019-06-11 08:32:22 GET /css/colors.css - 69.171.251.23 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/40.0.2214.85+Safari/537.36 - 200 3308 301
2019-06-11 08:32:23 GET /js/prettyphoto/css/prettyPhoto.css - 69.171.251.23 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/40.0.2214.85+Safari/537.36 - 200 4101 321
2019-06-11 08:32:23 GET /css/bootstrap/css/bootstrap.min.css - 69.171.251.11 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/40.0.2214.85+Safari/537.36 - 200 22905 322
2019-06-11 08:32:23 GET /css/bootstrap/js/bootstrap.min.js - 69.171.251.23 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/40.0.2214.85+Safari/537.36 - 200 9762 305
