#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-08-22 08:41:22
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-08-22 08:41:22 GET / - 52.11.76.238 HTTP/1.1 Go-http-client/1.1 - 200 13729 98
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-08-22 09:23:49
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-08-22 09:23:48 GET / - 123.125.71.34 HTTP/1.1 Mozilla/5.0+(compatible;+Baiduspider/2.0;++http://www.baidu.com/search/spider.html) - 200 13748 229
2019-08-22 09:23:51 GET /js/prettyphoto/css/prettyPhoto.css - 111.206.221.21 HTTP/1.1 Mozilla/5.0+(compatible;+Baiduspider-render/2.0;++http://www.baidu.com/search/spider.html) http://www.ngateahotel.co.nz/ 200 20163 442
2019-08-22 09:23:51 GET /css/colors.css - 111.206.198.28 HTTP/1.1 Mozilla/5.0+(compatible;+Baiduspider-render/2.0;++http://www.baidu.com/search/spider.html) http://www.ngateahotel.co.nz/ 200 10501 422
2019-08-22 09:23:51 GET /style.css - 111.206.198.32 HTTP/1.1 Mozilla/5.0+(compatible;+Baiduspider-render/2.0;++http://www.baidu.com/search/spider.html) http://www.ngateahotel.co.nz/ 200 17822 417
2019-08-22 09:23:53 GET /css/bootstrap/js/bootstrap.min.js - 111.206.221.33 HTTP/1.1 Mozilla/5.0+(compatible;+Baiduspider-render/2.0;++http://www.baidu.com/search/spider.html) http://www.ngateahotel.co.nz/ 200 27990 426
2019-08-22 09:23:55 GET /css/bootstrap/css/bootstrap.min.css - 111.206.221.24 HTTP/1.1 Mozilla/5.0+(compatible;+Baiduspider-render/2.0;++http://www.baidu.com/search/spider.html) http://www.ngateahotel.co.nz/ 200 97587 443
2019-08-22 09:23:56 GET /js/contactform.js - 111.206.198.91 HTTP/1.1 Mozilla/5.0+(compatible;+Baiduspider-render/2.0;++http://www.baidu.com/search/spider.html) http://www.ngateahotel.co.nz/ 200 4238 410
