#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-08-16 03:15:17
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-08-16 03:15:17 GET / - 35.167.166.25 HTTP/1.1 Mozilla/5.0+(compatible,+MSIE+11,+Windows+NT+6.3;+Trident/7.0;+rv:11.0)+like+Gecko - 200 8813 225
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-08-16 06:06:45
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-08-16 06:06:45 GET / - 118.148.126.176 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/60.0.3112.90+Safari/537.36 - 200 8794 415
2017-08-16 06:06:45 GET /css/popuo-box.css - 118.148.126.176 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/60.0.3112.90+Safari/537.36 http://ngateapizza.co.nz/ 200 1990 371
2017-08-16 06:06:45 GET /css/contact-buttons.css - 118.148.126.176 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/60.0.3112.90+Safari/537.36 http://ngateapizza.co.nz/ 404 1405 377
2017-08-16 06:06:45 GET /font-awesome/css/font-awesome.min.css - 118.148.126.176 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/60.0.3112.90+Safari/537.36 http://ngateapizza.co.nz/ 200 4992 391
2017-08-16 06:06:45 GET /css/style.css - 118.148.126.176 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/60.0.3112.90+Safari/537.36 http://ngateapizza.co.nz/ 200 6262 367
2017-08-16 06:06:45 GET /js/modernizr.custom.min.js - 118.148.126.176 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/60.0.3112.90+Safari/537.36 http://ngateapizza.co.nz/ 200 1456 365
