#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-03-22 12:27:45
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-03-22 12:27:44 GET / - 66.249.66.141 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 200 8794 294
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-03-22 17:30:17
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-03-22 17:30:16 GET / - 34.219.141.131 HTTP/1.1 Go-http-client/1.1 - 200 0 98
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-03-22 19:11:39
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-03-22 19:11:38 GET /images/2.jpg - 43.247.174.148 HTTP/1.1 Mozilla/5.0+(Linux;+Android+9;+SAMSUNG+SM-G960F+Build/PPR1.180610.011)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/9.0+Chrome/67.0.3396.87+Mobile+Safari/537.36 http://ngateapizza.co.nz/ 200 569632 436
2019-03-22 19:11:41 GET /images/3.jpg - 43.247.174.148 HTTP/1.1 Mozilla/5.0+(Linux;+Android+9;+SAMSUNG+SM-G960F+Build/PPR1.180610.011)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/9.0+Chrome/67.0.3396.87+Mobile+Safari/537.36 http://ngateapizza.co.nz/ 200 1379212 436
2019-03-22 19:11:42 GET /favicon.ico - 43.247.174.148 HTTP/1.1 Mozilla/5.0+(Linux;+Android+9;+SAMSUNG+SM-G960F+Build/PPR1.180610.011)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/9.0+Chrome/67.0.3396.87+Mobile+Safari/537.36 http://ngateapizza.co.nz/ 404 1405 435
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-03-22 19:51:35
