#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2016-11-02 07:26:17
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2016-11-02 07:26:17 GET / - 54.198.254.189 HTTP/1.1 Mozilla/5.0+(Windows;+U;+Windows+NT+6.0;+en-US;+rv:1.9.2.3)+Gecko/20100401+Firefox/3.6.3+GTB6+(.NET+CLR+3.5.30729) - 200 13738 195
2016-11-02 07:39:48 GET /robots.txt - 178.154.189.33 HTTP/1.1 Mozilla/5.0+(compatible;+YandexBot/3.0;++http://yandex.com/bots) - 404 1405 187
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2016-11-02 09:22:28
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2016-11-02 09:22:28 GET /index.html - 118.82.232.227 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/51.0.2704.79+Safari/537.36+Edge/14.14393 - 200 3377 337
2016-11-02 09:22:29 GET /ionicons/css/ionicons.min.css - 118.82.232.227 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/51.0.2704.79+Safari/537.36+Edge/14.14393 http://www.palacehotel.co.nz/index.html 200 10932 371
2016-11-02 09:22:29 GET /css/style.css - 118.82.232.227 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/51.0.2704.79+Safari/537.36+Edge/14.14393 http://www.palacehotel.co.nz/index.html 200 5918 355
2016-11-02 09:22:29 GET /js/bootstrap.min.js - 118.82.232.227 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/51.0.2704.79+Safari/537.36+Edge/14.14393 http://www.palacehotel.co.nz/index.html 200 13266 381
2016-11-02 09:22:29 GET /js/menu.js - 118.82.232.227 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/51.0.2704.79+Safari/537.36+Edge/14.14393 http://www.palacehotel.co.nz/index.html 200 1168 372
2016-11-02 09:22:29 GET /css/bootstrap.min.css - 118.82.232.227 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/51.0.2704.79+Safari/537.36+Edge/14.14393 http://www.palacehotel.co.nz/index.html 200 27806 363
2016-11-02 09:22:29 GET /js/modernizr.js - 118.82.232.227 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/51.0.2704.79+Safari/537.36+Edge/14.14393 http://www.palacehotel.co.nz/index.html 200 19903 377
2016-11-02 09:22:29 GET /img/logo.png - 118.82.232.227 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/51.0.2704.79+Safari/537.36+Edge/14.14393 http://www.palacehotel.co.nz/index.html 200 22564 402
2016-11-02 09:22:30 GET /js/animated-headline.js - 118.82.232.227 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/51.0.2704.79+Safari/537.36+Edge/14.14393 http://www.palacehotel.co.nz/index.html 200 2209 385
2016-11-02 09:22:30 GET /js/custom.js - 118.82.232.227 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/51.0.2704.79+Safari/537.36+Edge/14.14393 http://www.palacehotel.co.nz/index.html 200 1191 374
2016-11-02 09:22:30 GET /js/isotope.pkgd.min.js - 118.82.232.227 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/51.0.2704.79+Safari/537.36+Edge/14.14393 http://www.palacehotel.co.nz/index.html 200 13789 384
2016-11-02 09:22:30 GET /js/jquery-2.1.1.js - 118.82.232.227 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/51.0.2704.79+Safari/537.36+Edge/14.14393 http://www.palacehotel.co.nz/index.html 200 97203 380
2016-11-02 09:22:32 GET /img/img2.jpg - 118.82.232.227 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/51.0.2704.79+Safari/537.36+Edge/14.14393 http://www.palacehotel.co.nz/index.html 200 1266298 402
2016-11-02 09:22:32 GET /img/img4.jpg - 118.82.232.227 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/51.0.2704.79+Safari/537.36+Edge/14.14393 http://www.palacehotel.co.nz/index.html 200 1243133 402
2016-11-02 09:22:32 GET /img/img6.jpg - 118.82.232.227 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/51.0.2704.79+Safari/537.36+Edge/14.14393 http://www.palacehotel.co.nz/index.html 200 1235277 402
2016-11-02 09:22:32 GET /img/img5.jpg - 118.82.232.227 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/51.0.2704.79+Safari/537.36+Edge/14.14393 http://www.palacehotel.co.nz/index.html 200 1134136 402
2016-11-02 09:22:32 GET /img/img3.jpg - 118.82.232.227 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/51.0.2704.79+Safari/537.36+Edge/14.14393 http://www.palacehotel.co.nz/index.html 200 1188783 402
2016-11-02 09:22:34 GET /img/img3_1.jpg - 118.82.232.227 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/51.0.2704.79+Safari/537.36+Edge/14.14393 http://www.palacehotel.co.nz/index.html 200 1125686 404
2016-11-02 09:22:34 GET /img/img7.jpg - 118.82.232.227 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/51.0.2704.79+Safari/537.36+Edge/14.14393 http://www.palacehotel.co.nz/index.html 200 1155627 402
2016-11-02 09:22:34 GET /img/img9.jpg - 118.82.232.227 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/51.0.2704.79+Safari/537.36+Edge/14.14393 http://www.palacehotel.co.nz/index.html 200 1089855 402
