#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2016-11-10 08:00:36
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2016-11-10 08:00:36 GET / - 195.154.255.203 HTTP/1.0 Mozilla/5.0+(Windows+NT+6.3;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/34.0.1847.137+Safari/537.36 - 200 13762 307
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2016-11-10 10:10:11
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2016-11-10 10:10:11 HEAD /blog/wp-login.php - 37.156.216.187 HTTP/1.1 Mechanize/2.7.3+Ruby/1.9.3p551+(http://github.com/sparklemotion/mechanize/) http://oooquotsmtehnologiiquotstroitelnyematerialy.gazeta13.ru/blog/wp-login.php 404 160 430
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2016-11-10 17:55:46
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2016-11-10 17:55:46 GET / - 37.187.129.166 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/52.0.2743.116+Safari/537.36 - 200 3395 339
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2016-11-10 18:25:38
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2016-11-10 18:25:38 GET / - 192.154.111.122 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/49.0.2623.87+Safari/537.36 - 200 3376 235
2016-11-10 18:28:11 GET /robots.txt - 180.76.15.10 HTTP/1.1 Mozilla/5.0+(Windows+NT+5.1;+rv:6.0.2)+Gecko/20100101+Firefox/6.0.2 - 404 1424 223
