#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2016-12-11 09:05:04
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2016-12-11 09:05:04 GET / - 154.70.3.232 HTTP/1.1 EMail+Exractor - 200 13738 96
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2016-12-11 09:21:40
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2016-12-11 09:21:40 GET /robots.txt - 151.80.31.165 HTTP/1.1 Mozilla/5.0+(compatible;+AhrefsBot/5.1;++http://ahrefs.com/robot/) - 404 1405 182
2016-12-11 09:21:40 GET /contact.html - 163.172.66.21 HTTP/1.1 Mozilla/5.0+(compatible;+AhrefsBot/5.1;++http://ahrefs.com/robot/) - 200 2565 184
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2016-12-11 11:37:50
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2016-12-11 11:37:50 GET / - 67.63.225.51 HTTP/1.1 Java/1.4.1_04 - 200 13738 156
2016-12-11 11:37:50 GET /about.html - 67.63.225.51 HTTP/1.1 Java/1.4.1_04 - 200 5709 166
2016-12-11 11:37:51 GET /contact.html - 67.63.225.51 HTTP/1.1 Java/1.4.1_04 - 200 6391 168
2016-12-11 11:37:52 GET /index.html - 67.63.225.51 HTTP/1.1 Java/1.4.1_04 - 200 13738 166
2016-12-11 11:37:53 GET /portfolio.html - 67.63.225.51 HTTP/1.1 Java/1.4.1_04 - 200 12622 170
2016-12-11 11:37:56 GET /services.html - 67.63.225.51 HTTP/1.1 Java/1.4.1_04 - 200 7369 169
2016-12-11 11:37:57 GET /img/logo.png - 67.63.225.51 HTTP/1.1 Java/1.4.1_04 - 200 22564 168
2016-12-11 11:38:00 GET /js/animated-headline.js - 67.63.225.51 HTTP/1.1 Java/1.4.1_04 - 200 5815 179
