#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-12-10 07:35:58
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-12-10 07:35:57 GET /about.html - 194.187.170.117 HTTP/1.0 Mozilla/5.0+(compatible;+Qwantify/2.4w;++https://www.qwant.com/)/2.4w - 200 5728 302
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-12-10 09:25:25
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-12-10 09:25:25 GET / - 46.229.168.77 HTTP/1.1 Mozilla/5.0+(compatible;+SemrushBot/1.2~bl;++http://www.semrush.com/bot.html) - 200 3395 197
2017-12-10 09:26:27 GET / - 46.229.168.77 HTTP/1.1 Mozilla/5.0+(compatible;+SemrushBot/1.2~bl;++http://www.semrush.com/bot.html) - 200 3395 197
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-12-10 10:22:33
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-12-10 10:22:33 GET /img/img3.jpg - 66.249.79.82 HTTP/1.1 Googlebot-Image/1.0 - 304 211 247
2017-12-10 10:32:41 GET /img/img10.jpg - 66.249.79.80 HTTP/1.1 Googlebot-Image/1.0 - 304 211 248
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-12-10 12:27:28
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-12-10 12:27:27 GET /robots.txt - 5.45.207.33 HTTP/1.1 Mozilla/5.0+(compatible;+YandexBot/3.0;++http://yandex.com/bots) - 404 1405 187
2017-12-10 12:27:32 GET / - 5.45.207.33 HTTP/1.1 Mozilla/5.0+(compatible;+YandexBot/3.0;++http://yandex.com/bots) - 200 13738 221
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-12-10 15:32:11
