#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-01-03 07:52:41
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-01-03 07:52:41 GET / - 112.5.234.134 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.110+Safari/537.36 https://www.theautoprofit.ml 200 3376 365
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-01-03 10:31:50
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-01-03 10:31:50 GET /robots.txt - 216.244.66.236 HTTP/1.1 Mozilla/5.0+(compatible;+DotBot/1.1;+http://www.opensiteexplorer.org/dotbot,+help@moz.com) - 404 1405 228
2018-01-03 10:33:45 GET / - 216.244.66.236 HTTP/1.1 Mozilla/5.0+(compatible;+DotBot/1.1;+http://www.opensiteexplorer.org/dotbot,+help@moz.com) - 200 13738 218
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-01-03 10:58:56
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-01-03 10:58:55 GET /robots.txt - 5.45.207.33 HTTP/1.1 Mozilla/5.0+(compatible;+YandexBot/3.0;++http://yandex.com/bots) - 404 1405 187
2018-01-03 10:58:59 GET /img/img7.jpg - 5.45.207.33 HTTP/1.1 Mozilla/5.0+(compatible;+YandexImages/3.0;++http://yandex.com/bots) - 304 210 286
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-01-03 11:59:12
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
