#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-01-11 09:55:19
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-01-11 09:55:18 GET / - 34.234.83.0 HTTP/1.1 User-Agent:+Mozilla/5.0+(Windows+NT+6.1;+WOW64)+AppleWebKit/537.31+(KHTML,+like+Gecko)+Chrome/26.0.1410.64+Safari/537.31 - 200 13738 205
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-01-11 10:40:25
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-01-11 10:40:24 GET / - 204.79.180.21 HTTP/1.1 Mozilla/5.0+(compatible;+MSIE+9.0;+Windows+NT+6.0;+Trident/5.0;++Trident/5.0) - 200 13738 249
2018-01-11 10:40:29 GET /ionicons/css/ionicons.min.css - 204.79.180.16 HTTP/1.1 Mozilla/5.0+(compatible;+MSIE+9.0;+Windows+NT+6.0;+Trident/5.0;++Trident/5.0) http://www.palacehotel.co.nz/ 200 51532 318
2018-01-11 10:40:29 GET /js/modernizr.js - 204.79.180.6 HTTP/1.1 Mozilla/5.0+(compatible;+MSIE+9.0;+Windows+NT+6.0;+Trident/5.0;++Trident/5.0) http://www.palacehotel.co.nz/ 200 51615 304
2018-01-11 10:40:32 GET /js/bootstrap.min.js - 204.79.180.13 HTTP/1.1 Mozilla/5.0+(compatible;+MSIE+9.0;+Windows+NT+6.0;+Trident/5.0;++Trident/5.0) http://www.palacehotel.co.nz/ 200 37132 308
2018-01-11 10:40:32 GET /css/style.css - 204.79.180.19 HTTP/1.1 Mozilla/5.0+(compatible;+MSIE+9.0;+Windows+NT+6.0;+Trident/5.0;++Trident/5.0) http://www.palacehotel.co.nz/ 200 23669 302
2018-01-11 10:40:32 GET /js/jquery-2.1.1.js - 204.79.180.17 HTTP/1.1 Mozilla/5.0+(compatible;+MSIE+9.0;+Windows+NT+6.0;+Trident/5.0;++Trident/5.0) http://www.palacehotel.co.nz/ 200 247616 307
