#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-03-10 08:10:13
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-03-10 08:10:13 GET / - 54.187.137.66 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko - 200 3395 250
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-03-10 08:46:03
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-03-10 08:46:03 GET /robots.txt - 192.99.69.242 HTTP/1.1 Mozilla/5.0+(compatible;+ExtLinksBot/1.5;++https://extlinks.com/Bot.html) - 404 1405 191
2018-03-10 08:46:17 GET / - 192.99.69.242 HTTP/1.1 Mozilla/5.0+(compatible;+ExtLinksBot/1.5;++https://extlinks.com/Bot.html) - 200 3376 181
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-03-10 09:22:20
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-03-10 09:22:20 GET /img/img3_1.jpg - 49.50.207.240 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/38.0.2125.122+Safari/537.36+SE+2.X+MetaSr+1.0 https://www.google.com/ 200 0 384
2018-03-10 09:22:20 GET /img/img3_1.jpg - 49.50.207.240 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/38.0.2125.122+Safari/537.36+SE+2.X+MetaSr+1.0 https://www.google.com/ 206 300 407
2018-03-10 09:22:30 GET /img/img3_1.jpg - 49.50.207.240 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/38.0.2125.122+Safari/537.36+SE+2.X+MetaSr+1.0 https://www.google.com/ 206 1122242 410
#Software: Microsoft Internet Information Services 7.5
