#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-08-05 07:36:28
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-08-05 07:36:28 GET / - 5.188.211.24 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+SV1) - 200 13757 208
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-08-05 08:12:05
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-08-05 08:12:05 GET /services.html - 207.46.13.25 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - 200 2967 289
2018-08-05 08:18:06 GET / - 203.173.200.17 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.3;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.99+Safari/537.36 https://www.google.co.nz/ 200 3376 424
2018-08-05 08:18:06 GET /css/style.css - 203.173.200.17 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.3;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.99+Safari/537.36 http://www.palacehotel.co.nz/ 200 5918 344
2018-08-05 08:18:06 GET /ionicons/css/ionicons.min.css - 203.173.200.17 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.3;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.99+Safari/537.36 http://www.palacehotel.co.nz/ 200 10932 360
2018-08-05 08:18:07 GET /css/bootstrap.min.css - 203.173.200.17 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.3;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.99+Safari/537.36 http://www.palacehotel.co.nz/ 200 27806 352
2018-08-05 08:18:07 GET /js/modernizr.js - 203.173.200.17 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.3;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.99+Safari/537.36 http://www.palacehotel.co.nz/ 200 19903 331
