#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-08-11 07:11:11
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-08-11 07:11:10 HEAD / - 193.106.30.99 HTTP/1.1 python-requests/2.18.4 - 200 294 149
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-08-11 10:34:32
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-08-11 10:34:32 GET /robots.txt - 66.249.79.18 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 404 1405 235
2018-08-11 10:34:32 GET / - 72.14.199.114 HTTP/1.1 AdsBot-Google+(+http://www.google.com/adsbot.html) - 200 13738 182
2018-08-11 10:44:06 GET /css/bootstrap.min.css - 72.14.199.112 HTTP/1.1 AdsBot-Google+(+http://www.google.com/adsbot.html) http://www.palacehotel.co.nz/ 200 120748 316
2018-08-11 10:44:06 GET /css/style.css - 72.14.199.114 HTTP/1.1 AdsBot-Google+(+http://www.google.com/adsbot.html) http://www.palacehotel.co.nz/ 200 23669 308
2018-08-11 10:44:07 GET /img/img2.jpg - 72.14.199.114 HTTP/1.1 AdsBot-Google+(+http://www.google.com/adsbot.html) http://www.palacehotel.co.nz/ 200 1266298 309
2018-08-11 10:44:07 GET /img/img3_1.jpg - 72.14.199.114 HTTP/1.1 AdsBot-Google+(+http://www.google.com/adsbot.html) http://www.palacehotel.co.nz/ 200 1125686 311
2018-08-11 10:44:08 GET /img/img8.jpg - 72.14.199.114 HTTP/1.1 AdsBot-Google+(+http://www.google.com/adsbot.html) http://www.palacehotel.co.nz/ 200 1146016 309
2018-08-11 10:44:08 GET /js/modernizr.js - 72.14.199.112 HTTP/1.1 AdsBot-Google+(+http://www.google.com/adsbot.html) http://www.palacehotel.co.nz/ 200 51615 291
2018-08-11 10:44:09 GET /js/menu.js - 72.14.199.110 HTTP/1.1 AdsBot-Google+(+http://www.google.com/adsbot.html) http://www.palacehotel.co.nz/ 200 2093 286
