#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-08-27 07:27:39
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-08-27 07:27:39 HEAD /config/AspCms_config.asp - 123.163.249.191 HTTP/1.1 - - 404 160 96
2018-08-27 07:39:42 GET /robots.txt - 5.45.207.33 HTTP/1.1 Mozilla/5.0+(compatible;+YandexBot/3.0;++http://yandex.com/bots) - 404 1405 204
2018-08-27 07:39:42 GET /robots.txt - 141.8.132.37 HTTP/1.1 Mozilla/5.0+(compatible;+YandexBot/3.0;++http://yandex.com/bots) - 404 1405 200
2018-08-27 07:39:46 GET / - 5.45.207.33 HTTP/1.1 Mozilla/5.0+(compatible;+YandexBot/3.0;++http://yandex.com/bots) - 200 3376 286
2018-08-27 07:39:46 GET / - 141.8.132.37 HTTP/1.1 Mozilla/5.0+(compatible;+YandexBot/3.0;++http://yandex.com/bots) - 200 2707 282
2018-08-27 07:41:07 GET / - 141.8.132.37 HTTP/1.1 Mozilla/5.0+(compatible;+YandexBot/3.0;++http://yandex.com/bots) - 200 3376 225
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-08-27 11:51:57
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-08-27 11:51:56 GET /robots.txt - 52.25.50.11 HTTP/1.1 btcrawler - 404 1405 93
2018-08-27 11:52:26 GET /robots.txt - 66.249.79.78 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 404 1405 231
2018-08-27 11:52:28 GET /robots.txt - 52.25.50.11 HTTP/1.1 btcrawler - 404 1405 93
2018-08-27 11:52:28 GET / - 66.249.79.80 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+Nexus+5X+Build/MMB29P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/41.0.2272.96+Mobile+Safari/537.36+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 200 13738 420
2018-08-27 11:52:31 GET /js/isotope.pkgd.min.js - 66.249.79.78 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+Nexus+5X+Build/MMB29P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/41.0.2272.96+Mobile+Safari/537.36+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) http://palacehotel.co.nz/ 200 38008 442
2018-08-27 11:52:43 GET /robots.txt - 52.25.50.11 HTTP/1.1 btcrawler - 404 1405 93
2018-08-27 11:52:44 GET /robots.txt - 52.25.50.11 HTTP/1.1 btcrawler - 404 1405 93
2018-08-27 11:53:01 GET /robots.txt - 34.214.247.40 HTTP/1.1 btcrawler - 404 1405 93
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-08-27 12:38:36
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-08-27 12:38:35 GET / - 54.36.148.189 HTTP/1.1 Mozilla/5.0+(compatible;+AhrefsBot/5.2;++http://ahrefs.com/robot/) - 200 13738 172
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-08-27 13:23:34
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-08-27 13:23:34 GET /robots.txt - 5.45.207.33 HTTP/1.1 Mozilla/5.0+(compatible;+YandexBot/3.0;++http://yandex.com/bots) - 404 1405 204
2018-08-27 13:23:34 GET /robots.txt - 5.45.207.33 HTTP/1.1 Mozilla/5.0+(compatible;+YandexBot/3.0;++http://yandex.com/bots) - 404 1405 200
2018-08-27 13:23:38 GET / - 5.45.207.33 HTTP/1.1 Mozilla/5.0+(compatible;+YandexBot/3.0;++http://yandex.com/bots) - 200 2707 282
2018-08-27 13:23:38 GET / - 5.45.207.33 HTTP/1.1 Mozilla/5.0+(compatible;+YandexBot/3.0;++http://yandex.com/bots) - 200 13738 286
