#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-02-07 07:34:55
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-02-07 07:34:54 HEAD / - 46.166.190.152 HTTP/1.1 Mozilla/5.0+(compatible;+Uptimebot/1.0;++http://www.uptime.com/uptimebot) https://uptime.com/palacehotel.co.nz 200 267 210
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-02-07 07:50:42
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-02-07 07:50:42 GET /img/img3_1.jpg - 64.233.173.9 HTTP/1.1 Mozilla/5.0+(Windows+NT+5.1;+rv:11.0)+Gecko+Firefox/11.0+(via+ggpht.com+GoogleImageProxy) - 200 1125686 222
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-02-07 08:17:27
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-02-07 08:17:26 GET / - 64.233.173.9 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.1.0;+INE-LX2)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/72.0.3626.76+Mobile+Safari/537.36 http://www.google.com/ 200 13738 583
2019-02-07 08:17:27 GET /img/logo.png - 64.233.173.9 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.1.0;+INE-LX2)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/72.0.3626.76+Mobile+Safari/537.36 http://www.palacehotel.co.nz/ 200 22564 526
2019-02-07 08:17:27 GET /ionicons/css/ionicons.min.css - 64.233.173.11 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.1.0;+INE-LX2)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/72.0.3626.76+Mobile+Safari/537.36 http://www.palacehotel.co.nz/ 200 51532 522
