#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-04-04 08:07:29
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-04-04 08:07:29 GET / - 113.190.254.102 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+8.0;+Windows+NT+5.1;+Trident/4.0;+MRSPUTNIK+2,+4,+0,+471;+.NET+CLR+1.1.4322;+.NET+CLR+2.0.50727;+.NET+CLR+3.0.4506.2152;+.NET+CLR+3.5.30729) http://palacehotel.co.nz 200 13757 275
2019-04-04 08:08:11 GET /favicon.ico - 66.249.66.76 HTTP/1.1 Googlebot-Image/1.0 - 404 1405 196
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-04-04 08:26:15
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-04-04 08:26:15 GET / - 66.249.66.136 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+Nexus+5X+Build/MMB29P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/41.0.2272.96+Mobile+Safari/537.36+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 200 3376 552
2019-04-04 08:26:17 GET /js/modernizr.js - 66.249.66.138 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+Nexus+5X+Build/MMB29P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/41.0.2272.96+Mobile+Safari/537.36+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) http://palacehotel.co.nz/ 200 19903 435
2019-04-04 08:26:19 GET /css/bootstrap.min.css - 66.249.66.75 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+Nexus+5X+Build/MMB29P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/41.0.2272.96+Mobile+Safari/537.36+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) http://palacehotel.co.nz/ 200 27806 460
2019-04-04 08:26:25 GET /js/animated-headline.js - 66.249.66.76 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+Nexus+5X+Build/MMB29P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/41.0.2272.96+Mobile+Safari/537.36+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) http://palacehotel.co.nz/ 200 2209 447
2019-04-04 08:26:27 GET /js/isotope.pkgd.min.js - 66.249.66.136 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+Nexus+5X+Build/MMB29P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/41.0.2272.96+Mobile+Safari/537.36+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) http://palacehotel.co.nz/ 200 13789 442
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-04-04 10:00:49
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-04-04 10:00:48 GET / - 66.249.66.76 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 200 3376 298
2019-04-04 10:09:59 GET / - 66.249.66.75 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+Nexus+5X+Build/MMB29P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/41.0.2272.96+Mobile+Safari/537.36+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 200 13738 556
2019-04-04 10:13:55 GET /favicon.ico - 66.249.66.76 HTTP/1.1 Googlebot-Image/1.0 - 404 1405 196
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-04-04 10:50:26
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-04-04 10:50:26 GET /about.html - 157.55.39.151 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - 200 2711 282
2019-04-04 10:51:16 GET /about.html - 180.76.15.137 HTTP/1.1 Mozilla/5.0+(compatible;+Baiduspider/2.0;++http://www.baidu.com/search/spider.html) - 200 2730 233
2019-04-04 11:03:20 GET / - 202.20.1.171 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-G935F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/73.0.3683.90+Mobile+Safari/537.36 https://www.google.com/ 200 3376 475
2019-04-04 11:03:20 GET /css/style.css - 202.20.1.171 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-G935F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/73.0.3683.90+Mobile+Safari/537.36 http://www.palacehotel.co.nz/ 200 5918 364
2019-04-04 11:03:20 GET /ionicons/css/ionicons.min.css - 202.20.1.171 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-G935F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/73.0.3683.90+Mobile+Safari/537.36 http://www.palacehotel.co.nz/ 200 10932 380
2019-04-04 11:03:21 GET /css/bootstrap.min.css - 202.20.1.171 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-G935F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/73.0.3683.90+Mobile+Safari/537.36 http://www.palacehotel.co.nz/ 200 27806 372
2019-04-04 11:03:21 GET /js/modernizr.js - 202.20.1.171 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-G935F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/73.0.3683.90+Mobile+Safari/537.36 http://www.palacehotel.co.nz/ 200 19903 351
2019-04-04 11:03:21 GET /img/logo.png - 202.20.1.171 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-G935F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/73.0.3683.90+Mobile+Safari/537.36 http://www.palacehotel.co.nz/ 200 22564 384
2019-04-04 11:03:21 GET /js/bootstrap.min.js - 202.20.1.171 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-G935F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/73.0.3683.90+Mobile+Safari/537.36 http://www.palacehotel.co.nz/ 200 13266 355
2019-04-04 11:03:21 GET /js/menu.js - 202.20.1.171 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-G935F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/73.0.3683.90+Mobile+Safari/537.36 http://www.palacehotel.co.nz/ 200 1168 346
2019-04-04 11:03:21 GET /js/animated-headline.js - 202.20.1.171 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-G935F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/73.0.3683.90+Mobile+Safari/537.36 http://www.palacehotel.co.nz/ 200 2209 359
2019-04-04 11:03:23 GET /js/jquery-2.1.1.js - 202.20.1.171 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-G935F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/73.0.3683.90+Mobile+Safari/537.36 http://www.palacehotel.co.nz/ 200 97203 354
2019-04-04 11:03:25 GET /img/bg.jpg - 202.20.1.171 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-G935F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/73.0.3683.90+Mobile+Safari/537.36 http://www.palacehotel.co.nz/css/style.css 200 95902 395
2019-04-04 11:03:29 GET /ionicons/fonts/ionicons.ttf - 202.20.1.171 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-G935F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/73.0.3683.90+Mobile+Safari/537.36 http://www.palacehotel.co.nz/ionicons/css/ionicons.min.css 200 188773 438
2019-04-04 11:03:34 GET /img/img6.jpg - 202.20.1.171 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-G935F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/73.0.3683.90+Mobile+Safari/537.36 http://www.palacehotel.co.nz/ 200 1235277 384
2019-04-04 11:03:39 GET /img/img10.jpg - 202.20.1.171 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-G935F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/73.0.3683.90+Mobile+Safari/537.36 http://www.palacehotel.co.nz/ 200 1018686 385
2019-04-04 11:03:53 GET /img/img9.jpg - 202.20.1.171 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-G935F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/73.0.3683.90+Mobile+Safari/537.36 http://www.palacehotel.co.nz/ 200 1089855 384
2019-04-04 11:03:54 GET /img/img5.jpg - 202.20.1.171 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-G935F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/73.0.3683.90+Mobile+Safari/537.36 http://www.palacehotel.co.nz/ 200 1134136 384
2019-04-04 11:04:15 GET /img/img4.jpg - 202.20.1.171 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-G935F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/73.0.3683.90+Mobile+Safari/537.36 http://www.palacehotel.co.nz/ 200 1243133 384
2019-04-04 11:04:15 GET /js/isotope.pkgd.min.js - 202.20.1.171 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-G935F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/73.0.3683.90+Mobile+Safari/537.36 http://www.palacehotel.co.nz/ 200 13789 358
2019-04-04 11:04:15 GET /js/custom.js - 202.20.1.171 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-G935F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/73.0.3683.90+Mobile+Safari/537.36 http://www.palacehotel.co.nz/ 200 1191 348
2019-04-04 11:04:21 GET /img/img3_1.jpg - 202.20.1.171 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-G935F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/73.0.3683.90+Mobile+Safari/537.36 http://www.palacehotel.co.nz/ 200 1125686 386
2019-04-04 11:04:29 GET /img/img3.jpg - 202.20.1.171 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-G935F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/73.0.3683.90+Mobile+Safari/537.36 http://www.palacehotel.co.nz/ 200 1188783 384
2019-04-04 11:04:30 GET /img/img2.jpg - 202.20.1.171 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-G935F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/73.0.3683.90+Mobile+Safari/537.36 http://www.palacehotel.co.nz/ 200 1266298 384
2019-04-04 11:04:32 GET /img/img8.jpg - 202.20.1.171 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-G935F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/73.0.3683.90+Mobile+Safari/537.36 http://www.palacehotel.co.nz/ 200 1146016 384
2019-04-04 11:04:36 GET /img/img7.jpg - 202.20.1.171 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-G935F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/73.0.3683.90+Mobile+Safari/537.36 http://www.palacehotel.co.nz/ 200 1155627 384
2019-04-04 11:04:37 GET /favicon.ico - 202.20.1.171 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-G935F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/73.0.3683.90+Mobile+Safari/537.36 http://www.palacehotel.co.nz/ 404 1405 383
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-04-04 11:26:17
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-04-04 11:26:17 GET / - 181.214.181.142 HTTP/1.1 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_12_5)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.110+Safari/537.36 - 200 3376 238
2019-04-04 11:35:38 GET /robots.txt - 157.55.39.6 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - 404 1405 254
2019-04-04 11:35:43 GET /services.html - 207.46.13.94 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - 304 208 372
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-04-04 13:20:38
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-04-04 13:20:37 GET /robots.txt - 66.249.66.75 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 404 1405 235
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-04-04 13:56:02
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-04-04 13:56:02 GET / - 54.184.171.212 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/66.0.3359.181+Safari/537.36 - 200 3376 240
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-04-04 15:49:04
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-04-04 15:49:03 GET /robots.txt - 54.36.150.168 HTTP/1.1 Mozilla/5.0+(compatible;+AhrefsBot/6.1;++http://ahrefs.com/robot/) - 404 1405 178
2019-04-04 15:49:04 GET / - 54.36.148.83 HTTP/1.1 Mozilla/5.0+(compatible;+AhrefsBot/6.1;++http://ahrefs.com/robot/) - 200 13738 168
2019-04-04 15:52:24 GET /robots.txt - 46.229.168.151 HTTP/1.1 Mozilla/5.0+(compatible;+SemrushBot/3~bl;++http://www.semrush.com/bot.html) - 404 1424 205
2019-04-04 15:52:25 GET / - 46.229.168.163 HTTP/1.1 Mozilla/5.0+(compatible;+SemrushBot/3~bl;++http://www.semrush.com/bot.html) - 200 13757 268
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-04-04 16:11:44
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-04-04 16:11:44 GET /robots.txt - 17.58.102.55 HTTP/1.1 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_10_1)+AppleWebKit/600.2.5+(KHTML,+like+Gecko)+Version/8.0.2+Safari/600.2.5+(Applebot/0.1;++http://www.apple.com/go/applebot) - 404 1405 307
2019-04-04 16:11:44 GET /services.html - 17.58.102.55 HTTP/1.1 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_10_1)+AppleWebKit/600.2.5+(KHTML,+like+Gecko)+Version/8.0.2+Safari/600.2.5+(Applebot/0.1;++http://www.apple.com/go/applebot) - 200 2967 310
2019-04-04 16:22:40 HEAD / - 109.201.152.235 HTTP/1.1 Mozilla/5.0+(compatible;+Uptimebot/1.0;++http://www.uptime.com/uptimebot) https://uptime.com/palacehotel.co.nz 200 267 210
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-04-04 17:03:51
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
